Epoch: 3, Valid Loss: 0.358, Valid Acc: 0.908
Epoch: 4, Train Loss: 0.309, Train Acc: 0.912
Epoch: 4, Valid Loss: 0.281, Valid Acc: 0.928
Epoch: 5, Train Loss: 0.250, Train Acc: 0.929
Epoch: 5, Valid Loss: 0.231, Valid Acc: 0.944
Epoch: 6, Train Loss: 0.211, Train Acc: 0.939
Epoch: 6, Valid Loss: 0.196, Valid Acc: 0.950
Epoch: 7, Train Loss: 0.185, Train Acc: 0.947
Epoch: 7, Valid Loss: 0.174, Valid Acc: 0.955
Epoch: 8, Train Loss: 0.167, Train Acc: 0.952
Epoch: 8, Valid Loss: 0.157, Valid Acc: 0.958
Epoch: 9, Train Loss: 0.153, Train Acc: 0.955
Epoch: 9, Valid Loss: 0.150, Valid Acc: 0.960
Epoch: 10, Train Loss: 0.141, Train Acc: 0.959
Epoch: 10, Valid Loss: 0.137, Valid Acc: 0.963
Epoch: 11, Train Loss: 0.130, Train Acc: 0.963
Epoch: 11, Valid Loss: 0.125, Valid Acc: 0.968
Epoch: 12, Train Loss: 0.124, Train Acc: 0.963
Epoch: 12, Valid Loss: 0.117, Valid Acc: 0.970
Epoch: 13, Train Loss: 0.116, Train Acc: 0.966
Epoch: 13, Valid Loss: 0.109, Valid Acc: 0.970
Epoch: 14, Train Loss: 0.112, Train Acc: 0.967
Epoch: 14, Valid Loss: 0.106, Valid Acc: 0.972
Epoch: 15, Train Loss: 0.106, Train Acc: 0.968
Epoch: 15, Valid Loss: 0.103, Valid Acc: 0.972
Epoch: 16, Train Loss: 0.103, Train Acc: 0.969
Epoch: 16, Valid Loss: 0.098, Valid Acc: 0.973
Epoch: 17, Train Loss: 0.097, Train Acc: 0.971
Epoch: 17, Valid Loss: 0.094, Valid Acc: 0.975
Epoch: 18, Train Loss: 0.093, Train Acc: 0.972
Epoch: 18, Valid Loss: 0.090, Valid Acc: 0.974
Epoch: 19, Train Loss: 0.090, Train Acc: 0.973
Epoch: 19, Valid Loss: 0.089, Valid Acc: 0.976
Epoch: 20, Train Loss: 0.086, Train Acc: 0.975
Epoch: 20, Valid Loss: 0.084, Valid Acc: 0.976
valid acc:  0.9764
Run Params: {'lr': 0.790027, 'batch_size': 940}
Epoch: 1, Train Loss: 823.421, Train Acc: 0.099
Epoch: 1, Valid Loss: 2.385, Valid Acc: 0.101
Epoch: 2, Train Loss: 2.311, Train Acc: 0.106
Epoch: 2, Valid Loss: 2.383, Valid Acc: 0.103
Epoch: 3, Train Loss: 2.313, Train Acc: 0.104
Epoch: 3, Valid Loss: 2.385, Valid Acc: 0.098
valid acc:  0.098
Run Params: {'lr': 0.000834, 'batch_size': 452}
Epoch: 1, Train Loss: 0.452, Train Acc: 0.865
Epoch: 1, Valid Loss: 0.148, Valid Acc: 0.959
Epoch: 2, Train Loss: 0.122, Train Acc: 0.964
Epoch: 2, Valid Loss: 0.091, Valid Acc: 0.973
Epoch: 3, Train Loss: 0.090, Train Acc: 0.973
Epoch: 3, Valid Loss: 0.068, Valid Acc: 0.978
Epoch: 4, Train Loss: 0.073, Train Acc: 0.978
Epoch: 4, Valid Loss: 0.070, Valid Acc: 0.978
