Epoch: 7, Train Loss: 0.092, Train Acc: 0.971
Epoch: 7, Valid Loss: 0.083, Valid Acc: 0.975
Epoch: 8, Train Loss: 0.087, Train Acc: 0.973
Epoch: 8, Valid Loss: 0.076, Valid Acc: 0.977
Epoch: 9, Train Loss: 0.088, Train Acc: 0.973
Epoch: 9, Valid Loss: 0.102, Valid Acc: 0.972
Epoch: 10, Train Loss: 0.097, Train Acc: 0.970
Epoch: 10, Valid Loss: 0.085, Valid Acc: 0.973
Epoch: 11, Train Loss: 0.082, Train Acc: 0.974
Epoch: 11, Valid Loss: 0.095, Valid Acc: 0.971
Epoch: 12, Train Loss: 0.089, Train Acc: 0.972
Epoch: 12, Valid Loss: 0.079, Valid Acc: 0.978
Epoch: 13, Train Loss: 0.079, Train Acc: 0.975
Epoch: 13, Valid Loss: 0.075, Valid Acc: 0.977
Epoch: 14, Train Loss: 0.073, Train Acc: 0.978
Epoch: 14, Valid Loss: 0.106, Valid Acc: 0.969
Epoch: 15, Train Loss: 0.073, Train Acc: 0.977
Epoch: 15, Valid Loss: 0.080, Valid Acc: 0.977
Epoch: 16, Train Loss: 0.073, Train Acc: 0.977
Epoch: 16, Valid Loss: 0.081, Valid Acc: 0.976
Epoch: 17, Train Loss: 0.071, Train Acc: 0.978
Epoch: 17, Valid Loss: 0.070, Valid Acc: 0.978
Epoch: 18, Train Loss: 0.077, Train Acc: 0.976
Epoch: 18, Valid Loss: 0.072, Valid Acc: 0.978
Epoch: 19, Train Loss: 0.069, Train Acc: 0.978
Epoch: 19, Valid Loss: 0.081, Valid Acc: 0.976
Epoch: 20, Train Loss: 0.069, Train Acc: 0.979
Epoch: 20, Valid Loss: 0.076, Valid Acc: 0.979
valid acc:  0.9785
Run Params: {'lr': 0.005275, 'batch_size': 527}
Epoch: 1, Train Loss: 0.335, Train Acc: 0.898
Epoch: 1, Valid Loss: 0.102, Valid Acc: 0.968
Epoch: 2, Train Loss: 0.099, Train Acc: 0.969
Epoch: 2, Valid Loss: 0.074, Valid Acc: 0.978
Epoch: 3, Train Loss: 0.081, Train Acc: 0.974
Epoch: 3, Valid Loss: 0.064, Valid Acc: 0.980
Epoch: 4, Train Loss: 0.071, Train Acc: 0.979
Epoch: 4, Valid Loss: 0.066, Valid Acc: 0.978
Epoch: 5, Train Loss: 0.065, Train Acc: 0.980
Epoch: 5, Valid Loss: 0.065, Valid Acc: 0.980
Epoch: 6, Train Loss: 0.059, Train Acc: 0.982
Epoch: 6, Valid Loss: 0.048, Valid Acc: 0.983
Epoch: 7, Train Loss: 0.055, Train Acc: 0.983
Epoch: 7, Valid Loss: 0.052, Valid Acc: 0.982
Epoch: 8, Train Loss: 0.052, Train Acc: 0.984
Epoch: 8, Valid Loss: 0.054, Valid Acc: 0.983
Epoch: 9, Train Loss: 0.047, Train Acc: 0.985
Epoch: 9, Valid Loss: 0.052, Valid Acc: 0.983
Epoch: 10, Train Loss: 0.046, Train Acc: 0.985
Epoch: 10, Valid Loss: 0.048, Valid Acc: 0.984
Epoch: 11, Train Loss: 0.044, Train Acc: 0.986
Epoch: 11, Valid Loss: 0.049, Valid Acc: 0.985
Epoch: 12, Train Loss: 0.045, Train Acc: 0.986
Epoch: 12, Valid Loss: 0.065, Valid Acc: 0.981
Epoch: 13, Train Loss: 0.043, Train Acc: 0.987
Epoch: 13, Valid Loss: 0.045, Valid Acc: 0.986
Epoch: 14, Train Loss: 0.041, Train Acc: 0.987
Epoch: 14, Valid Loss: 0.048, Valid Acc: 0.984
Epoch: 15, Train Loss: 0.042, Train Acc: 0.986
Epoch: 15, Valid Loss: 0.051, Valid Acc: 0.984
Epoch: 16, Train Loss: 0.039, Train Acc: 0.987
Epoch: 16, Valid Loss: 0.054, Valid Acc: 0.985
Epoch: 17, Train Loss: 0.039, Train Acc: 0.988
Epoch: 17, Valid Loss: 0.046, Valid Acc: 0.985
Epoch: 18, Train Loss: 0.037, Train Acc: 0.988
Epoch: 18, Valid Loss: 0.048, Valid Acc: 0.984
Epoch: 19, Train Loss: 0.038, Train Acc: 0.987
Epoch: 19, Valid Loss: 0.049, Valid Acc: 0.986
Epoch: 20, Train Loss: 0.035, Train Acc: 0.989
Epoch: 20, Valid Loss: 0.049, Valid Acc: 0.985
valid acc:  0.9848
Run Params: {'lr': 0.122146, 'batch_size': 384}
Epoch: 1, Train Loss: 4.744, Train Acc: 0.107
Epoch: 1, Valid Loss: 2.391, Valid Acc: 0.103
Epoch: 2, Train Loss: 2.316, Train Acc: 0.108
Epoch: 2, Valid Loss: 2.392, Valid Acc: 0.096
Epoch: 3, Train Loss: 2.316, Train Acc: 0.105
Epoch: 3, Valid Loss: 2.389, Valid Acc: 0.101
valid acc:  0.1009
Run Params: {'lr': 3.2e-05, 'batch_size': 249}
Epoch: 1, Train Loss: 1.826, Train Acc: 0.450
Epoch: 1, Valid Loss: 1.184, Valid Acc: 0.720
Epoch: 2, Train Loss: 0.830, Train Acc: 0.779
Epoch: 2, Valid Loss: 0.595, Valid Acc: 0.844
Epoch: 3, Train Loss: 0.510, Train Acc: 0.854
Epoch: 3, Valid Loss: 0.427, Valid Acc: 0.880
Epoch: 4, Train Loss: 0.389, Train Acc: 0.887
Epoch: 4, Valid Loss: 0.337, Valid Acc: 0.909
Epoch: 5, Train Loss: 0.321, Train Acc: 0.906
Epoch: 5, Valid Loss: 0.283, Valid Acc: 0.919
Epoch: 6, Train Loss: 0.280, Train Acc: 0.918
Epoch: 6, Valid Loss: 0.254, Valid Acc: 0.928
Epoch: 7, Train Loss: 0.247, Train Acc: 0.927
Epoch: 7, Valid Loss: 0.219, Valid Acc: 0.937
Epoch: 8, Train Loss: 0.225, Train Acc: 0.933
Epoch: 8, Valid Loss: 0.205, Valid Acc: 0.944
Epoch: 9, Train Loss: 0.206, Train Acc: 0.939
Epoch: 9, Valid Loss: 0.188, Valid Acc: 0.949
Epoch: 10, Train Loss: 0.189, Train Acc: 0.944
Epoch: 10, Valid Loss: 0.176, Valid Acc: 0.949
Epoch: 11, Train Loss: 0.178, Train Acc: 0.946
Epoch: 11, Valid Loss: 0.166, Valid Acc: 0.953
Epoch: 12, Train Loss: 0.166, Train Acc: 0.951
Epoch: 12, Valid Loss: 0.153, Valid Acc: 0.955
Epoch: 13, Train Loss: 0.156, Train Acc: 0.953
Epoch: 13, Valid Loss: 0.143, Valid Acc: 0.957
Epoch: 14, Train Loss: 0.150, Train Acc: 0.955
Epoch: 14, Valid Loss: 0.140, Valid Acc: 0.960
Epoch: 15, Train Loss: 0.143, Train Acc: 0.957
Epoch: 15, Valid Loss: 0.130, Valid Acc: 0.964
