Epoch: 1, Valid Loss: 0.658, Valid Acc: 0.808
Epoch: 2, Train Loss: 0.479, Train Acc: 0.857
Epoch: 2, Valid Loss: 0.341, Valid Acc: 0.901
Epoch: 3, Train Loss: 0.306, Train Acc: 0.911
Epoch: 3, Valid Loss: 0.245, Valid Acc: 0.930
Epoch: 4, Train Loss: 0.231, Train Acc: 0.933
Epoch: 4, Valid Loss: 0.185, Valid Acc: 0.948
Epoch: 5, Train Loss: 0.187, Train Acc: 0.946
Epoch: 5, Valid Loss: 0.161, Valid Acc: 0.955
Epoch: 6, Train Loss: 0.161, Train Acc: 0.954
Epoch: 6, Valid Loss: 0.138, Valid Acc: 0.960
Epoch: 7, Train Loss: 0.142, Train Acc: 0.958
Epoch: 7, Valid Loss: 0.121, Valid Acc: 0.966
Epoch: 8, Train Loss: 0.126, Train Acc: 0.962
Epoch: 8, Valid Loss: 0.110, Valid Acc: 0.967
Epoch: 9, Train Loss: 0.117, Train Acc: 0.966
Epoch: 9, Valid Loss: 0.100, Valid Acc: 0.968
Epoch: 10, Train Loss: 0.108, Train Acc: 0.968
Epoch: 10, Valid Loss: 0.095, Valid Acc: 0.972
Epoch: 11, Train Loss: 0.101, Train Acc: 0.970
Epoch: 11, Valid Loss: 0.088, Valid Acc: 0.973
Epoch: 12, Train Loss: 0.096, Train Acc: 0.971
Epoch: 12, Valid Loss: 0.083, Valid Acc: 0.976
Epoch: 13, Train Loss: 0.091, Train Acc: 0.973
Epoch: 13, Valid Loss: 0.080, Valid Acc: 0.975
Epoch: 14, Train Loss: 0.087, Train Acc: 0.973
Epoch: 14, Valid Loss: 0.075, Valid Acc: 0.976
Epoch: 15, Train Loss: 0.083, Train Acc: 0.975
Epoch: 15, Valid Loss: 0.075, Valid Acc: 0.978
valid acc:  0.9784
Run Params: {'lr': 0.000694, 'batch_size': 1106}
Epoch: 1, Train Loss: 0.804, Train Acc: 0.758
Epoch: 1, Valid Loss: 0.311, Valid Acc: 0.918
Epoch: 2, Train Loss: 0.213, Train Acc: 0.938
Epoch: 2, Valid Loss: 0.168, Valid Acc: 0.956
Epoch: 3, Train Loss: 0.145, Train Acc: 0.958
Epoch: 3, Valid Loss: 0.118, Valid Acc: 0.967
Epoch: 4, Train Loss: 0.116, Train Acc: 0.966
Epoch: 4, Valid Loss: 0.104, Valid Acc: 0.971
Epoch: 5, Train Loss: 0.099, Train Acc: 0.970
Epoch: 5, Valid Loss: 0.083, Valid Acc: 0.975
Epoch: 6, Train Loss: 0.088, Train Acc: 0.974
Epoch: 6, Valid Loss: 0.076, Valid Acc: 0.977
Epoch: 7, Train Loss: 0.081, Train Acc: 0.976
Epoch: 7, Valid Loss: 0.074, Valid Acc: 0.979
Epoch: 8, Train Loss: 0.073, Train Acc: 0.978
Epoch: 8, Valid Loss: 0.066, Valid Acc: 0.980
Epoch: 9, Train Loss: 0.068, Train Acc: 0.979
Epoch: 9, Valid Loss: 0.069, Valid Acc: 0.979
Epoch: 10, Train Loss: 0.066, Train Acc: 0.980
Epoch: 10, Valid Loss: 0.062, Valid Acc: 0.981
Epoch: 11, Train Loss: 0.062, Train Acc: 0.981
Epoch: 11, Valid Loss: 0.060, Valid Acc: 0.982
Epoch: 12, Train Loss: 0.059, Train Acc: 0.982
Epoch: 12, Valid Loss: 0.058, Valid Acc: 0.983
Epoch: 13, Train Loss: 0.055, Train Acc: 0.983
Epoch: 13, Valid Loss: 0.055, Valid Acc: 0.984
Epoch: 14, Train Loss: 0.054, Train Acc: 0.983
Epoch: 14, Valid Loss: 0.051, Valid Acc: 0.984
Epoch: 15, Train Loss: 0.053, Train Acc: 0.984
Epoch: 15, Valid Loss: 0.054, Valid Acc: 0.984
valid acc:  0.9838
Run Params: {'lr': 0.321628, 'batch_size': 1908}
Epoch: 1, Train Loss: 91.569, Train Acc: 0.101
Epoch: 1, Valid Loss: 2.651, Valid Acc: 0.101
Epoch: 2, Train Loss: 2.346, Train Acc: 0.105
Epoch: 2, Valid Loss: 2.635, Valid Acc: 0.114
Epoch: 3, Train Loss: 2.344, Train Acc: 0.108
Epoch: 3, Valid Loss: 2.636, Valid Acc: 0.114
valid acc:  0.1135
Run Params: {'lr': 0.004269, 'batch_size': 1615}
Epoch: 1, Train Loss: 0.491, Train Acc: 0.847
Epoch: 1, Valid Loss: 0.164, Valid Acc: 0.961
Epoch: 2, Train Loss: 0.120, Train Acc: 0.964
Epoch: 2, Valid Loss: 0.105, Valid Acc: 0.973
Epoch: 3, Train Loss: 0.087, Train Acc: 0.974
Epoch: 3, Valid Loss: 0.085, Valid Acc: 0.978
Epoch: 4, Train Loss: 0.074, Train Acc: 0.978
Epoch: 4, Valid Loss: 0.073, Valid Acc: 0.981
Epoch: 5, Train Loss: 0.064, Train Acc: 0.981
Epoch: 5, Valid Loss: 0.081, Valid Acc: 0.980
Epoch: 6, Train Loss: 0.060, Train Acc: 0.982
Epoch: 6, Valid Loss: 0.077, Valid Acc: 0.982
Epoch: 7, Train Loss: 0.053, Train Acc: 0.984
Epoch: 7, Valid Loss: 0.065, Valid Acc: 0.983
Epoch: 8, Train Loss: 0.051, Train Acc: 0.985
Epoch: 8, Valid Loss: 0.065, Valid Acc: 0.983
Epoch: 9, Train Loss: 0.050, Train Acc: 0.985
Epoch: 9, Valid Loss: 0.062, Valid Acc: 0.984
Epoch: 10, Train Loss: 0.045, Train Acc: 0.986
Epoch: 10, Valid Loss: 0.060, Valid Acc: 0.984
Epoch: 11, Train Loss: 0.044, Train Acc: 0.986
Epoch: 11, Valid Loss: 0.054, Valid Acc: 0.985
Epoch: 12, Train Loss: 0.042, Train Acc: 0.987
Epoch: 12, Valid Loss: 0.056, Valid Acc: 0.986
Epoch: 13, Train Loss: 0.039, Train Acc: 0.988
Epoch: 13, Valid Loss: 0.051, Valid Acc: 0.986
Epoch: 14, Train Loss: 0.036, Train Acc: 0.988
Epoch: 14, Valid Loss: 0.051, Valid Acc: 0.986
Epoch: 15, Train Loss: 0.037, Train Acc: 0.988
Epoch: 15, Valid Loss: 0.056, Valid Acc: 0.986
valid acc:  0.9861
Run Params: {'lr': 0.466525, 'batch_size': 1895}
Epoch: 1, Train Loss: 327.223, Train Acc: 0.124
Epoch: 1, Valid Loss: 2.643, Valid Acc: 0.103
Epoch: 2, Train Loss: 2.336, Train Acc: 0.106
Epoch: 2, Valid Loss: 2.619, Valid Acc: 0.114
Epoch: 3, Train Loss: 2.327, Train Acc: 0.110
Epoch: 3, Valid Loss: 2.617, Valid Acc: 0.114
valid acc:  0.1135
Run Params: {'lr': 0.000543, 'batch_size': 485}
Epoch: 1, Train Loss: 0.624, Train Acc: 0.813
Epoch: 1, Valid Loss: 0.211, Valid Acc: 0.941
Epoch: 2, Train Loss: 0.163, Train Acc: 0.952
