,function,run,seed,algo,func_val,pop_size,max_iter,best_iter
0,Ackley,1,36,NormGA,15.34320606526542,15,10,10
1,Ackley,1,36,imprvGA,17.70116721744346,15,10,10
2,Ackley,1,36,PSO,11.154226521778858,15,10,10
3,Ackley,1,36,BBO,18.075257309736145,15,10,10
4,Ackley,2,24,NormGA,13.187907701361581,15,10,10
5,Ackley,2,24,imprvGA,8.111100559401239,15,10,10
6,Ackley,2,24,PSO,10.610714862409036,15,10,10
7,Ackley,2,24,BBO,7.9889108105187,15,10,10
8,Ackley,3,288,NormGA,13.187907701361581,15,10,10
9,Ackley,3,288,imprvGA,8.111100559401239,15,10,10
10,Ackley,3,288,PSO,10.610714862409036,15,10,10
11,Ackley,3,288,BBO,7.9889108105187,15,10,10
12,Ackley,4,513,NormGA,13.187907701361581,15,10,10
13,Ackley,4,513,imprvGA,8.111100559401239,15,10,10
14,Ackley,4,513,PSO,10.610714862409036,15,10,10
15,Ackley,4,513,BBO,7.9889108105187,15,10,10
16,Ackley,5,11,NormGA,13.187907701361581,15,10,10
17,Ackley,5,11,imprvGA,8.111100559401239,15,10,10
18,Ackley,5,11,PSO,10.610714862409036,15,10,10
19,Ackley,5,11,BBO,7.9889108105187,15,10,10
20,Sphere,1,36,NormGA,9.000650670047325,15,10,10
21,Sphere,1,36,imprvGA,9.563822465996491,15,10,10
22,Sphere,1,36,PSO,20.7790677255484,15,10,10
23,Sphere,1,36,BBO,13.0,15,10,10
24,Sphere,2,24,NormGA,9.000650670047325,15,10,10
25,Sphere,2,24,imprvGA,9.563822465996491,15,10,10
26,Sphere,2,24,PSO,20.7790677255484,15,10,10
27,Sphere,2,24,BBO,13.0,15,10,10
28,Sphere,3,288,NormGA,9.000650670047325,15,10,10
29,Sphere,3,288,imprvGA,9.563822465996491,15,10,10
30,Sphere,3,288,PSO,20.7790677255484,15,10,10
31,Sphere,3,288,BBO,13.0,15,10,10
32,Sphere,4,513,NormGA,9.000650670047325,15,10,10
33,Sphere,4,513,imprvGA,9.563822465996491,15,10,10
34,Sphere,4,513,PSO,20.7790677255484,15,10,10
35,Sphere,4,513,BBO,13.0,15,10,10
36,Sphere,5,11,NormGA,9.000650670047325,15,10,10
37,Sphere,5,11,imprvGA,9.563822465996491,15,10,10
38,Sphere,5,11,PSO,20.7790677255484,15,10,10
39,Sphere,5,11,BBO,13.0,15,10,10
40,Rosenbrock,1,36,NormGA,599.1441371757356,15,10,10
41,Rosenbrock,1,36,imprvGA,388.29373560286444,15,10,10
42,Rosenbrock,1,36,PSO,286.54103262334615,15,10,10
43,Rosenbrock,1,36,BBO,25604.0,15,10,10
44,Rosenbrock,2,24,NormGA,599.1441371757356,15,10,10
45,Rosenbrock,2,24,imprvGA,388.29373560286444,15,10,10
46,Rosenbrock,2,24,PSO,286.54103262334615,15,10,10
47,Rosenbrock,2,24,BBO,25604.0,15,10,10
48,Rosenbrock,3,288,NormGA,599.1441371757356,15,10,10
49,Rosenbrock,3,288,imprvGA,388.29373560286444,15,10,10
50,Rosenbrock,3,288,PSO,286.54103262334615,15,10,10
51,Rosenbrock,3,288,BBO,25604.0,15,10,10
52,Rosenbrock,4,513,NormGA,599.1441371757356,15,10,10
53,Rosenbrock,4,513,imprvGA,388.29373560286444,15,10,10
54,Rosenbrock,4,513,PSO,286.54103262334615,15,10,10
55,Rosenbrock,4,513,BBO,25604.0,15,10,10
56,Rosenbrock,5,11,NormGA,599.1441371757356,15,10,10
57,Rosenbrock,5,11,imprvGA,388.29373560286444,15,10,10
58,Rosenbrock,5,11,PSO,286.54103262334615,15,10,10
59,Rosenbrock,5,11,BBO,25604.0,15,10,10
60,StyblinskiTang,1,36,NormGA,754.195678699226,15,10,10
61,StyblinskiTang,1,36,imprvGA,-54.33525996781435,15,10,10
62,StyblinskiTang,1,36,PSO,316.11517214078435,15,10,10
63,StyblinskiTang,1,36,BBO,-43.0,15,10,10
64,StyblinskiTang,2,24,NormGA,754.195678699226,15,10,10
65,StyblinskiTang,2,24,imprvGA,-54.33525996781435,15,10,10
66,StyblinskiTang,2,24,PSO,316.11517214078435,15,10,10
67,StyblinskiTang,2,24,BBO,-43.0,15,10,10
68,StyblinskiTang,3,288,NormGA,754.195678699226,15,10,10
69,StyblinskiTang,3,288,imprvGA,-54.33525996781435,15,10,10
70,StyblinskiTang,3,288,PSO,316.11517214078435,15,10,10
71,StyblinskiTang,3,288,BBO,-43.0,15,10,10
72,StyblinskiTang,4,513,NormGA,754.195678699226,15,10,10
73,StyblinskiTang,4,513,imprvGA,-54.33525996781435,15,10,10
74,StyblinskiTang,4,513,PSO,316.11517214078435,15,10,10
75,StyblinskiTang,4,513,BBO,-43.0,15,10,10
76,StyblinskiTang,5,11,NormGA,754.195678699226,15,10,10
77,StyblinskiTang,5,11,imprvGA,-54.33525996781435,15,10,10
78,StyblinskiTang,5,11,PSO,316.11517214078435,15,10,10
79,StyblinskiTang,5,11,BBO,-43.0,15,10,10
80,DeJongsF1,1,36,NormGA,9.000650670047325,15,10,10
81,DeJongsF1,1,36,imprvGA,9.563822465996491,15,10,10
82,DeJongsF1,1,36,PSO,20.7790677255484,15,10,10
83,DeJongsF1,1,36,BBO,13.0,15,10,10
84,DeJongsF1,2,24,NormGA,9.000650670047325,15,10,10
85,DeJongsF1,2,24,imprvGA,9.563822465996491,15,10,10
86,DeJongsF1,2,24,PSO,20.7790677255484,15,10,10
87,DeJongsF1,2,24,BBO,13.0,15,10,10
88,DeJongsF1,3,288,NormGA,9.000650670047325,15,10,10
89,DeJongsF1,3,288,imprvGA,9.563822465996491,15,10,10
90,DeJongsF1,3,288,PSO,20.7790677255484,15,10,10
91,DeJongsF1,3,288,BBO,13.0,15,10,10
92,DeJongsF1,4,513,NormGA,9.000650670047325,15,10,10
93,DeJongsF1,4,513,imprvGA,9.563822465996491,15,10,10
94,DeJongsF1,4,513,PSO,20.7790677255484,15,10,10
95,DeJongsF1,4,513,BBO,13.0,15,10,10
