,function,run,seed,algo,func_val,pop_size,max_iter,best_iter
88,DeJongsF1,3,968,NormGA,284.62957123974974,15,10,10
89,DeJongsF1,3,968,imprvGA,3.9400992728756155,15,10,10
90,DeJongsF1,3,968,PSO,10.772665096182974,15,10,10
91,DeJongsF1,3,968,BBO,965.0,15,10,10
92,DeJongsF1,4,872,NormGA,167.22712229633058,15,10,10
93,DeJongsF1,4,872,imprvGA,3.9400992728756155,15,10,10
94,DeJongsF1,4,872,PSO,63.25205482728576,15,10,10
95,DeJongsF1,4,872,BBO,905.0,15,10,10
96,DeJongsF1,5,260,NormGA,72.22712229633058,15,10,10
97,DeJongsF1,5,260,imprvGA,7.865939132913509,15,10,10
98,DeJongsF1,5,260,PSO,10.933089059056412,15,10,10
99,DeJongsF1,5,260,BBO,85.0,15,10,10
100,DeJongsF2,1,365,NormGA,367.90252709304843,15,10,10
101,DeJongsF2,1,365,imprvGA,1.9542074745165705,15,10,10
102,DeJongsF2,1,365,PSO,250.83706401410467,15,10,10
103,DeJongsF2,1,365,BBO,2501.0,15,10,10
104,DeJongsF2,2,642,NormGA,75.44787264291863,15,10,10
105,DeJongsF2,2,642,imprvGA,34.11390668176434,15,10,10
106,DeJongsF2,2,642,PSO,1176.4940793287728,15,10,10
107,DeJongsF2,2,642,BBO,136909.0,15,10,10
108,DeJongsF2,3,968,NormGA,200.98627108640622,15,10,10
109,DeJongsF2,3,968,imprvGA,13.900758233008313,15,10,10
110,DeJongsF2,3,968,PSO,3378.7170987077307,15,10,10
111,DeJongsF2,3,968,BBO,8116.0,15,10,10
112,DeJongsF2,4,872,NormGA,466.08046183310023,15,10,10
113,DeJongsF2,4,872,imprvGA,959.3719965954884,15,10,10
114,DeJongsF2,4,872,PSO,72.66655772939004,15,10,10
115,DeJongsF2,4,872,BBO,384569.0,15,10,10
116,DeJongsF2,5,260,NormGA,102.71278968677912,15,10,10
117,DeJongsF2,5,260,imprvGA,86.81728230783303,15,10,10
118,DeJongsF2,5,260,PSO,582.7912355737329,15,10,10
119,DeJongsF2,5,260,BBO,6464.0,15,10,10
120,Ellipsoid,1,365,NormGA,8137591.277422914,15,10,10
121,Ellipsoid,1,365,imprvGA,28547.17575294838,15,10,10
122,Ellipsoid,1,365,PSO,6935.8427837168265,15,10,10
123,Ellipsoid,1,365,BBO,25000001.0,15,10,10
124,Ellipsoid,2,642,NormGA,647094.1918136909,15,10,10
125,Ellipsoid,2,642,imprvGA,28557.538122762824,15,10,10
126,Ellipsoid,2,642,PSO,391129.21513577877,15,10,10
127,Ellipsoid,2,642,BBO,16001600.0,15,10,10
128,Ellipsoid,3,968,NormGA,6012611.911387982,15,10,10
129,Ellipsoid,3,968,imprvGA,28565.139434044508,15,10,10
130,Ellipsoid,3,968,PSO,9424.365696001749,15,10,10
131,Ellipsoid,3,968,BBO,49001936.0,15,10,10
132,Ellipsoid,4,872,NormGA,23227173.698093195,15,10,10
133,Ellipsoid,4,872,imprvGA,28545.82386910874,15,10,10
134,Ellipsoid,4,872,PSO,309206.36529115983,15,10,10
135,Ellipsoid,4,872,BBO,121000784.0,15,10,10
136,Ellipsoid,5,260,NormGA,23227173.698093195,15,10,10
137,Ellipsoid,5,260,imprvGA,1340.7281615486233,15,10,10
138,Ellipsoid,5,260,PSO,137287.51532552115,15,10,10
139,Ellipsoid,5,260,BBO,36000049.0,15,10,10
140,KTablet,1,365,NormGA,260000.0,15,10,10
141,KTablet,1,365,imprvGA,10285.419123117481,15,10,10
