,function,run,seed,algo,func_val,pop_size,best_iter
0,Ackley,1,634,NormGA,19.994858009462085,10,0
1,Ackley,1,634,imprvGA,19.994854419478294,10,0
2,Ackley,1,634,PSO,19.996927169220413,10,0
3,Ackley,1,634,BBO,19.934023758750616,10,0
4,Ackley,2,954,NormGA,19.99646602675429,10,0
5,Ackley,2,954,imprvGA,19.980779642375232,10,0
6,Ackley,2,954,PSO,19.99646602675429,10,0
7,Ackley,2,954,BBO,19.91734077491938,10,0
8,Ackley,3,992,NormGA,19.993211390092743,10,0
9,Ackley,3,992,imprvGA,19.98085692632852,10,0
10,Ackley,3,992,PSO,19.993211390092743,10,0
11,Ackley,3,992,BBO,19.964119381689372,10,0
12,Ackley,4,318,NormGA,19.98641777318639,10,0
13,Ackley,4,318,imprvGA,19.966382037710012,10,0
14,Ackley,4,318,PSO,19.995033853328017,10,0
15,Ackley,4,318,BBO,19.98718577968383,10,0
16,Ackley,5,657,NormGA,19.999550321494905,10,0
17,Ackley,5,657,imprvGA,19.98785301899283,10,0
18,Ackley,5,657,PSO,19.999550321494905,10,0
19,Ackley,5,657,BBO,19.984668735714177,10,0
20,Sphere,1,634,NormGA,880.2107841228885,10,0
21,Sphere,1,634,imprvGA,1121.5048007673033,10,0
22,Sphere,1,634,PSO,860.6375915467302,10,0
23,Sphere,1,634,BBO,7208.454359304198,10,0
24,Sphere,2,954,NormGA,549.8566803859127,10,0
25,Sphere,2,954,imprvGA,883.9848276581514,10,0
26,Sphere,2,954,PSO,1286.5845729629043,10,0
27,Sphere,2,954,BBO,6167.034815622044,10,0
28,Sphere,3,992,NormGA,462.1639599568166,10,0
29,Sphere,3,992,imprvGA,1013.5531166478662,10,0
30,Sphere,3,992,PSO,912.2555175435127,10,0
31,Sphere,3,992,BBO,4215.667632832694,10,0
32,Sphere,4,318,NormGA,573.5500841190457,10,0
33,Sphere,4,318,imprvGA,633.0990634455943,10,0
34,Sphere,4,318,PSO,1428.5877192578291,10,0
35,Sphere,4,318,BBO,3694.897284076609,10,0
36,Sphere,5,657,NormGA,560.7103493446407,10,0
37,Sphere,5,657,imprvGA,1355.1520554175086,10,0
38,Sphere,5,657,PSO,1829.5997632788387,10,0
39,Sphere,5,657,BBO,6624.711517501515,10,0
40,Rosenbrock,1,634,NormGA,3587350.8174461965,10,0
