,function,run,seed,algo,func_val,pop_size,best_iter
0,Ackley,1,348,NormGA,0.1121076623745294,100,0
1,Ackley,1,348,imprvGA,5.1662236146832186e-06,100,0
2,Ackley,1,348,PSO,0.5534113384932806,100,0
3,Ackley,1,348,BBO,8.133913631886413,100,0
4,Ackley,2,368,NormGA,0.1272472370679636,100,0
5,Ackley,2,368,imprvGA,0.00010786090849457253,100,0
6,Ackley,2,368,PSO,0.143327069038385,100,0
7,Ackley,2,368,BBO,4.6142713141808045,100,0
8,Ackley,3,705,NormGA,0.05092683755831473,100,0
9,Ackley,3,705,imprvGA,4.166478734912715e-06,100,0
10,Ackley,3,705,PSO,0.22651200458494758,100,0
11,Ackley,3,705,BBO,5.422131717799509,100,0
12,Ackley,4,266,NormGA,0.09362363033932253,100,0
13,Ackley,4,266,imprvGA,0.00010643459040826642,100,0
14,Ackley,4,266,PSO,0.2755537554199292,100,0
15,Ackley,4,266,BBO,8.133913631886413,100,0
16,Ackley,5,76,NormGA,0.051228242661114365,100,0
17,Ackley,5,76,imprvGA,3.301952489209725e-08,100,0
18,Ackley,5,76,PSO,0.33718890636926746,100,0
19,Ackley,5,76,BBO,4.6142713141808045,100,0
20,Sphere,1,348,NormGA,0.00025774571971219385,100,0
21,Sphere,1,348,imprvGA,1.7570580023824032e-17,100,0
22,Sphere,1,348,PSO,0.0003226184107456398,100,0
23,Sphere,1,348,BBO,2.2805614662149027,100,0
24,Sphere,2,368,NormGA,0.0007032416235912788,100,0
25,Sphere,2,368,imprvGA,2.58283609100051e-19,100,0
26,Sphere,2,368,PSO,0.007529146194585671,100,0
27,Sphere,2,368,BBO,1.2279514730868888,100,0
28,Sphere,3,705,NormGA,0.00020902034569571722,100,0
29,Sphere,3,705,imprvGA,3.7226840948875604e-18,100,0
30,Sphere,3,705,PSO,5.817628110466994e-06,100,0
31,Sphere,3,705,BBO,2.2805614662149027,100,0
32,Sphere,4,266,NormGA,0.0007032414104170132,100,0
33,Sphere,4,266,imprvGA,1.4946961541690213e-14,100,0
34,Sphere,4,266,PSO,0.00043114723514233035,100,0
35,Sphere,4,266,BBO,1.2279514730868888,100,0
36,Sphere,5,76,NormGA,0.0007036049646647939,100,0
37,Sphere,5,76,imprvGA,1.3893116023717974e-09,100,0
38,Sphere,5,76,PSO,0.0016727707020641497,100,0
39,Sphere,5,76,BBO,1.2279514730868888,100,0
40,Rosenbrock,1,348,NormGA,1.0935879620941151,100,0
41,Rosenbrock,1,348,imprvGA,0.06415905847891763,100,0
42,Rosenbrock,1,348,PSO,0.1584772495418559,100,0
43,Rosenbrock,1,348,BBO,72.46940739308346,100,0
44,Rosenbrock,2,368,NormGA,32.00849758886797,100,0
45,Rosenbrock,2,368,imprvGA,21.896380072699642,100,0
46,Rosenbrock,2,368,PSO,63.61248068855652,100,0
47,Rosenbrock,2,368,BBO,64.0,100,0
48,Rosenbrock,3,705,NormGA,1.1439491887738613,100,0
49,Rosenbrock,3,705,imprvGA,3.6448159387739687,100,0
50,Rosenbrock,3,705,PSO,1.5099831286717753,100,0
51,Rosenbrock,3,705,BBO,464.0,100,0
52,Rosenbrock,4,266,NormGA,2.5268881190697146,100,0
53,Rosenbrock,4,266,imprvGA,0.7669738478005357,100,0
54,Rosenbrock,4,266,PSO,0.020526509113629514,100,0
55,Rosenbrock,4,266,BBO,64.0,100,0
56,Rosenbrock,5,76,NormGA,32.00849758886797,100,0
57,Rosenbrock,5,76,imprvGA,1.2704882310072725,100,0
58,Rosenbrock,5,76,PSO,3.1078400338480208,100,0
59,Rosenbrock,5,76,BBO,480.40951764101163,100,0
60,StyblinskiTang,1,348,NormGA,-78.28922610016953,100,0
61,StyblinskiTang,1,348,imprvGA,-78.33233140754284,100,0
62,StyblinskiTang,1,348,PSO,-78.28895659033488,100,0
63,StyblinskiTang,1,348,BBO,-62.40570965489025,100,0
64,StyblinskiTang,2,368,NormGA,-77.54820863814108,100,0
65,StyblinskiTang,2,368,imprvGA,-78.33233140754282,100,0
66,StyblinskiTang,2,368,PSO,-78.16405870201591,100,0
67,StyblinskiTang,2,368,BBO,-59.726012831668676,100,0
68,StyblinskiTang,3,705,NormGA,-78.32384921624184,100,0
69,StyblinskiTang,3,705,imprvGA,-78.31862719598021,100,0
70,StyblinskiTang,3,705,PSO,-76.89001340112512,100,0
71,StyblinskiTang,3,705,BBO,-62.40570965489025,100,0
72,StyblinskiTang,4,266,NormGA,-77.19619969062245,100,0
73,StyblinskiTang,4,266,imprvGA,-78.33233108842813,100,0
74,StyblinskiTang,4,266,PSO,-78.28750650510487,100,0
75,StyblinskiTang,4,266,BBO,-47.40570965489025,100,0
76,StyblinskiTang,5,76,NormGA,-77.49965684974538,100,0
