,function,run,seed,algo,func_val,pop_size,best_iter
0,Ackley,1,80,NormGA,0.050875948996028875,100,0
1,Ackley,1,80,imprvGA,0.8955551821082168,100,0
2,Ackley,1,80,PSO,0.1964559149279208,100,0
3,Ackley,1,80,BBO,5.422131717799509,100,0
4,Ackley,2,521,NormGA,0.09366256107296289,100,0
5,Ackley,2,521,imprvGA,1.8653069441487702e-05,100,0
6,Ackley,2,521,PSO,0.3357464776215755,100,0
7,Ackley,2,521,BBO,6.051800462421015,100,0
8,Ackley,3,824,NormGA,0.09362374815571695,100,0
9,Ackley,3,824,imprvGA,1.4346625665240254e-08,100,0
10,Ackley,3,824,PSO,1.71001474839628,100,0
11,Ackley,3,824,BBO,3.6253849384403622,100,0
12,Ackley,4,476,NormGA,3.0101425533057835e-05,100,0
13,Ackley,4,476,imprvGA,0.010299795005197954,100,0
14,Ackley,4,476,PSO,0.18188193060995772,100,0
15,Ackley,4,476,BBO,6.759807469095772,100,0
16,Ackley,5,512,NormGA,0.050875814001919206,100,0
17,Ackley,5,512,imprvGA,0.001897650917570104,100,0
18,Ackley,5,512,PSO,0.4676964201966567,100,0
19,Ackley,5,512,BBO,3.019086064614221,100,0
20,Sphere,1,80,NormGA,1.3998761334157528e-06,100,0
21,Sphere,1,80,imprvGA,1.5287618076904209e-16,100,0
22,Sphere,1,80,PSO,0.001701940894248173,100,0
23,Sphere,1,80,BBO,1.2279514730868888,100,0
24,Sphere,2,521,NormGA,0.0005043345697032811,100,0
25,Sphere,2,521,imprvGA,9.519617723182407e-07,100,0
26,Sphere,2,521,PSO,0.001203966771352827,100,0
27,Sphere,2,521,BBO,0.22795147308688887,100,0
28,Sphere,3,824,NormGA,0.0003751255324508527,100,0
29,Sphere,3,824,imprvGA,1.4666103545319964e-10,100,0
30,Sphere,3,824,PSO,0.0054214312731233685,100,0
31,Sphere,3,824,BBO,1.2279514730868888,100,0
32,Sphere,4,476,NormGA,6.125007468094238e-05,100,0
33,Sphere,4,476,imprvGA,2.7040441423741417e-18,100,0
34,Sphere,4,476,PSO,0.001243727337575904,100,0
35,Sphere,4,476,BBO,4.227951473086889,100,0
36,Sphere,5,512,NormGA,4.069591617923469e-09,100,0
37,Sphere,5,512,imprvGA,2.2806321899289103e-16,100,0
38,Sphere,5,512,PSO,0.014850751747152,100,0
39,Sphere,5,512,BBO,0.22795147308688887,100,0
40,Rosenbrock,1,80,NormGA,28.67831598769866,100,0
41,Rosenbrock,1,80,imprvGA,9.59812820787196,100,0
42,Rosenbrock,1,80,PSO,17.594732078379135,100,0
43,Rosenbrock,1,80,BBO,0.4640045997379487,100,0
44,Rosenbrock,2,521,NormGA,16.00096563777002,100,0
45,Rosenbrock,2,521,imprvGA,13.653346755768569,100,0
46,Rosenbrock,2,521,PSO,0.06801981429777819,100,0
47,Rosenbrock,2,521,BBO,23.795147308688886,100,0
48,Rosenbrock,3,824,NormGA,0.0,100,0
49,Rosenbrock,3,824,imprvGA,0.0,100,0
50,Rosenbrock,3,824,PSO,5.858899344464913,100,0
51,Rosenbrock,3,824,BBO,0.0,100,0
52,Rosenbrock,4,476,NormGA,0.8090104357534454,100,0
53,Rosenbrock,4,476,imprvGA,0.7192593413822846,100,0
54,Rosenbrock,4,476,PSO,9.773730791843628,100,0
55,Rosenbrock,4,476,BBO,25.86923483733994,100,0
56,Rosenbrock,5,512,NormGA,16.43232850390105,100,0
