,function,run,seed,algo,func_val,pop_size,max_iter,best_iter
0,Ackley,1,146,NormGA,14.956282228330805,100,20,20
1,Ackley,1,146,imprvGA,19.748719475465165,100,20,20
2,Ackley,1,146,PSO,19.987312621490105,100,20,20
3,Ackley,1,146,BBO,16.29196413896096,100,20,20
4,Ackley,2,627,NormGA,13.775419712954083,100,20,20
5,Ackley,2,627,imprvGA,19.42394618441142,100,20,20
6,Ackley,2,627,PSO,19.893897706355013,100,20,20
7,Ackley,2,627,BBO,16.211971558849793,100,20,20
8,Ackley,3,646,NormGA,19.865510254785583,100,20,20
9,Ackley,3,646,imprvGA,19.947136171944223,100,20,20
10,Ackley,3,646,PSO,19.980955769669794,100,20,20
11,Ackley,3,646,BBO,15.695824970624406,100,20,20
12,Ackley,4,863,NormGA,15.334559248115252,100,20,20
13,Ackley,4,863,imprvGA,18.372923692839368,100,20,20
14,Ackley,4,863,PSO,19.954691449713607,100,20,20
15,Ackley,4,863,BBO,11.81604145025353,100,20,20
16,Ackley,5,147,NormGA,18.587619899480003,100,20,20
17,Ackley,5,147,imprvGA,19.957168697460492,100,20,20
18,Ackley,5,147,PSO,19.97698345374267,100,20,20
19,Ackley,5,147,BBO,18.048818934993314,100,20,20
20,Sphere,1,146,NormGA,400.77425712332894,100,20,20
21,Sphere,1,146,imprvGA,214.9018555392082,100,20,20
22,Sphere,1,146,PSO,540.4927839708472,100,20,20
23,Sphere,1,146,BBO,918.5667371089239,100,20,20
24,Sphere,2,627,NormGA,490.339330162773,100,20,20
25,Sphere,2,627,imprvGA,41.85044630975794,100,20,20
26,Sphere,2,627,PSO,391.577812897968,100,20,20
27,Sphere,2,627,BBO,1216.08767487049,100,20,20
28,Sphere,3,646,NormGA,325.3420569747178,100,20,20
29,Sphere,3,646,imprvGA,184.32793325767992,100,20,20
30,Sphere,3,646,PSO,242.04490191214992,100,20,20
31,Sphere,3,646,BBO,1291.2259093158782,100,20,20
32,Sphere,4,863,NormGA,107.63384528909624,100,20,20
33,Sphere,4,863,imprvGA,25.618411486568757,100,20,20
34,Sphere,4,863,PSO,467.59998752877084,100,20,20
35,Sphere,4,863,BBO,509.3648168449988,100,20,20
36,Sphere,5,147,NormGA,265.7559642222991,100,20,20
37,Sphere,5,147,imprvGA,85.22364179029873,100,20,20
38,Sphere,5,147,PSO,379.6973163627985,100,20,20
39,Sphere,5,147,BBO,944.9895117180928,100,20,20
40,Rosenbrock,1,146,NormGA,4370063.698911142,100,20,20
41,Rosenbrock,1,146,imprvGA,459777.3675535589,100,20,20
42,Rosenbrock,1,146,PSO,1769689.0007729926,100,20,20
43,Rosenbrock,1,146,BBO,5197960.15090589,100,20,20
44,Rosenbrock,2,627,NormGA,1498474.243918124,100,20,20
45,Rosenbrock,2,627,imprvGA,185006.93270257916,100,20,20
46,Rosenbrock,2,627,PSO,2528945.2992663085,100,20,20
47,Rosenbrock,2,627,BBO,6792132.730071947,100,20,20
48,Rosenbrock,3,646,NormGA,10289184.138717623,100,20,20
49,Rosenbrock,3,646,imprvGA,1833553.1758020981,100,20,20
50,Rosenbrock,3,646,PSO,2074018.3155763738,100,20,20
51,Rosenbrock,3,646,BBO,8061200.4353807205,100,20,20
52,Rosenbrock,4,863,NormGA,7492884.140262314,100,20,20
53,Rosenbrock,4,863,imprvGA,56731.993173513096,100,20,20
54,Rosenbrock,4,863,PSO,8071619.1639251085,100,20,20
55,Rosenbrock,4,863,BBO,1540730.2247762564,100,20,20
56,Rosenbrock,5,147,NormGA,5526604.233935104,100,20,20
57,Rosenbrock,5,147,imprvGA,86262.715214674,100,20,20
58,Rosenbrock,5,147,PSO,1628377.325161081,100,20,20
59,Rosenbrock,5,147,BBO,10748087.22402656,100,20,20
60,StyblinskiTang,1,146,NormGA,51760.13488598817,100,20,20
61,StyblinskiTang,1,146,imprvGA,3945.7645677621426,100,20,20
62,StyblinskiTang,1,146,PSO,65722.0903924291,100,20,20
63,StyblinskiTang,1,146,BBO,124966.73025562872,100,20,20
64,StyblinskiTang,2,627,NormGA,19396.157185794687,100,20,20
65,StyblinskiTang,2,627,imprvGA,3320.9206291973073,100,20,20
66,StyblinskiTang,2,627,PSO,13797.987800659896,100,20,20
67,StyblinskiTang,2,627,BBO,34694.32138054111,100,20,20
