,run,train acc,test acc,n,m
0,1,1.0,0.95775,31,6
1,2,0.99975,0.94375,13,9
2,3,0.0,0.0,167,18
3,4,1.0,0.94125,145,15
4,5,1.0,0.946,54,13
5,6,1.0,0.946,19,2
6,7,1.0,0.9595,118,7
7,8,1.0,0.952,197,12
8,9,1.0,0.95425,136,11
9,10,1.0,0.954,54,8
10,11,1.0,0.961,45,4
11,12,1.0,0.9635,78,4
12,13,0.0,0.0,122,17
13,14,1.0,0.96375,124,5
14,15,1.0,0.9355,36,16
15,16,1.0,0.9635,78,4
16,17,1.0,0.96375,114,5
17,18,1.0,0.95975,136,7
18,19,1.0,0.9625,79,5
19,20,1.0,0.95975,90,2
20,21,1.0,0.9485,31,12
21,22,1.0,0.961,45,4
22,23,1.0,0.95975,90,2
23,24,1.0,0.964,124,4
24,25,1.0,0.9625,68,5
25,26,1.0,0.96,98,2
26,27,1.0,0.96225,75,5
27,28,1.0,0.96275,75,4
28,29,1.0,0.96225,78,5
29,30,1.0,0.95425,78,8
30,31,1.0,0.96375,124,5
31,32,1.0,0.9505,124,12
32,33,1.0,0.96375,120,5
33,34,1.0,0.96375,143,5
34,35,1.0,0.96375,124,5
35,36,1.0,0.96125,68,4
36,37,1.0,0.96375,124,5
37,38,1.0,0.9545,34,4
38,39,1.0,0.96375,98,4
39,40,1.0,0.96375,124,5
40,41,1.0,0.96375,124,5
41,42,1.0,0.944,64,14
42,43,1.0,0.9635,120,4
43,44,1.0,0.96375,124,5
44,45,1.0,0.96375,128,5
45,46,1.0,0.96375,124,5
46,47,1.0,0.96375,143,5
47,48,1.0,0.96425,110,5
48,49,1.0,0.96375,124,5
49,50,1.0,0.9635,137,4
50,51,1.0,0.96275,100,5
51,52,0.0,0.0,133,18
52,53,1.0,0.95425,22,5
53,54,0.9985625,0.9355,9,5
54,55,1.0,0.96425,111,5
55,56,0.999625,0.93625,14,13
56,57,1.0,0.964,115,5
57,58,1.0,0.96425,185,5
58,59,1.0,0.96175,83,5
59,60,1.0,0.9625,168,5
60,61,1.0,0.96375,124,5
61,62,1.0,0.96375,124,5
62,63,1.0,0.96325,134,5
63,64,1.0,0.94,37,15
64,65,1.0,0.941,185,15
65,66,0.0,0.0,185,17
66,67,0.999625,0.94025,13,12
67,68,1.0,0.95825,40,5
68,69,1.0,0.96375,128,5
69,70,1.0,0.96425,185,5
70,71,1.0,0.96375,143,4
71,72,1.0,0.95925,67,2
72,73,1.0,0.963,177,5
73,74,0.0,0.0,124,19
74,75,1.0,0.96375,143,5
