,run,train acc,test acc,n,m
0,1,1.0,0.95775,31,6
1,2,0.99975,0.94375,13,9
2,3,0.0,0.0,167,18
3,4,1.0,0.94125,145,15
4,5,1.0,0.946,54,13
5,6,1.0,0.946,19,2
6,7,1.0,0.9595,118,7
7,8,1.0,0.952,197,12
8,9,1.0,0.95425,136,11
9,10,1.0,0.954,54,8
10,11,1.0,0.961,45,4
11,12,1.0,0.9635,78,4
12,13,0.0,0.0,122,17
13,14,1.0,0.96375,124,5
14,15,1.0,0.9355,36,16
15,16,1.0,0.9545,124,11
16,17,1.0,0.96475,136,5
17,18,1.0,0.95875,155,8
18,19,1.0,0.946,54,13
19,20,0.999875,0.94475,19,11
20,21,1.0,0.963,136,2
21,22,1.0,0.963,136,2
22,23,1.0,0.9595,120,7
23,24,1.0,0.956,118,8
24,25,1.0,0.956,124,9
25,26,1.0,0.96375,124,5
26,27,1.0,0.95875,45,5
27,28,1.0,0.95425,136,1
28,29,1.0,0.963,136,2
29,30,0.0,0.0,37,18
30,31,1.0,0.96275,100,6
31,32,1.0,0.95475,81,8
32,33,1.0,0.961,45,4
33,34,1.0,0.95775,137,8
34,35,1.0,0.958,100,7
