,run,train acc,test acc,n,m
0,1,1.0,0.9624277456647399,31,6
1,2,0.0,0.0,13,9
2,3,0.0,0.0,167,18
3,4,0.0,0.0,145,15
4,5,0.0,0.0,54,13
5,6,1.0,0.9566473988439307,19,2
6,7,0.0,0.0,118,7
7,8,0.0,0.0,197,12
8,9,0.0,0.0,136,11
9,10,0.0,0.0,54,8
10,11,1.0,0.9624277456647399,45,4
11,12,1.0,0.9624277456647399,78,4
12,13,0.0,0.0,122,17
13,14,1.0,0.9653179190751445,124,5
14,15,0.0,0.0,36,16
15,16,1.0,0.9624277456647399,31,6
16,17,1.0,0.9682080924855492,103,6
17,18,0.0,0.0,136,7
18,19,1.0,0.9624277456647399,33,6
19,20,1.0,0.9624277456647399,90,2
20,21,0.0,0.0,19,15
21,22,1.0,0.9624277456647399,78,4
22,23,1.0,0.9624277456647399,90,2
23,24,1.0,0.9653179190751445,103,4
24,25,1.0,0.9682080924855492,85,6
25,26,1.0,0.9653179190751445,98,2
26,27,1.0,0.9624277456647399,74,4
27,28,1.0,0.9624277456647399,45,4
28,29,1.0,0.9653179190751445,103,4
29,30,0.0,0.0,103,8
30,31,1.0,0.9682080924855492,85,6
31,32,0.0,0.0,103,12
32,33,1.0,0.9624277456647399,102,3
33,34,1.0,0.9739884393063584,143,6
34,35,1.0,0.9653179190751445,85,4
35,36,1.0,0.9595375722543352,45,6
36,37,1.0,0.9682080924855492,103,6
37,38,1.0,0.9653179190751445,34,2
38,39,1.0,0.9653179190751445,100,5
39,40,1.0,0.9682080924855492,103,6
40,41,1.0,0.9653179190751445,103,5
41,42,0.0,0.0,64,14
42,43,1.0,0.9653179190751445,103,4
43,44,1.0,0.9682080924855492,98,6
44,45,1.0,0.9624277456647399,101,2
45,46,1.0,0.9653179190751445,103,4
46,47,1.0,0.9682080924855492,98,6
47,48,1.0,0.9653179190751445,110,5
48,49,1.0,0.9653179190751445,103,4
49,50,1.0,0.9739884393063584,137,6
50,51,1.0,0.9653179190751445,123,5
51,52,0.0,0.0,133,18
52,53,1.0,0.9653179190751445,105,5
53,54,0.9956584659913169,0.9450867052023122,9,6
54,55,1.0,0.9653179190751445,103,5
55,56,0.0,0.0,14,13
56,57,1.0,0.9653179190751445,117,5
57,58,1.0,0.9682080924855492,185,4
58,59,1.0,0.9653179190751445,83,4
59,60,1.0,0.9739884393063584,168,6
60,61,1.0,0.9653179190751445,98,4
61,62,1.0,0.9653179190751445,98,4
62,63,1.0,0.9624277456647399,100,2
63,64,0.0,0.0,37,15
64,65,0.0,0.0,168,15
65,66,0.0,0.0,168,17
66,67,0.0,0.0,13,12
67,68,1.0,0.9595375722543352,40,6
68,69,1.0,0.9682080924855492,170,5
69,70,1.0,0.9682080924855492,168,5
70,71,1.0,0.9682080924855492,170,5
71,72,1.0,0.9595375722543352,67,2
72,73,1.0,0.9624277456647399,160,1
73,74,0.0,0.0,103,19
74,75,1.0,0.9682080924855492,170,5
