,run,train acc,test acc,n,m
0,1,1.0,0.9624277456647399,31,6
1,2,0.0,0.0,13,9
2,3,0.0,0.0,167,18
3,4,0.0,0.0,145,15
4,5,0.0,0.0,54,13
5,6,1.0,0.9566473988439307,19,2
6,7,0.0,0.0,118,7
7,8,0.0,0.0,197,12
8,9,0.0,0.0,136,11
9,10,0.0,0.0,54,8
10,11,1.0,0.9624277456647399,45,4
11,12,1.0,0.9624277456647399,78,4
12,13,0.0,0.0,122,17
13,14,1.0,0.9653179190751445,124,5
14,15,0.0,0.0,36,16
15,16,1.0,0.9653179190751445,105,5
16,17,1.0,0.9624277456647399,31,6
17,18,1.0,0.9653179190751445,120,5
18,19,1.0,0.9653179190751445,124,5
19,20,0.0,0.0,135,19
20,21,1.0,0.9624277456647399,44,5
21,22,1.0,0.9653179190751445,124,5
22,23,1.0,0.9682080924855492,112,4
23,24,1.0,0.9682080924855492,152,5
24,25,1.0,0.9624277456647399,44,6
25,26,0.0,0.0,104,15
26,27,1.0,0.9595375722543352,45,6
27,28,1.0,0.9682080924855492,152,4
28,29,1.0,0.9682080924855492,140,5
29,30,1.0,0.9682080924855492,112,4
30,31,0.0,0.0,160,14
31,32,1.0,0.9653179190751445,145,3
32,33,1.0,0.9682080924855492,133,5
33,34,1.0,0.9682080924855492,154,5
34,35,0.0,0.0,152,17
35,36,0.0,0.0,16,16
36,37,1.0,0.9682080924855492,138,5
37,38,0.0,0.0,112,8
38,39,1.0,0.9682080924855492,112,4
39,40,0.0,0.0,112,10
40,41,0.0,0.0,32,10
41,42,1.0,0.9682080924855492,120,4
42,43,1.0,0.9682080924855492,116,4
43,44,1.0,0.9566473988439307,25,4
44,45,0.9978292329956585,0.9595375722543352,10,4
45,46,1.0,0.9682080924855492,152,4
46,47,1.0,0.9682080924855492,112,4
47,48,1.0,0.9624277456647399,44,4
48,49,0.0,0.0,112,16
49,50,0.0,0.0,152,15
50,51,0.0,0.0,152,9
51,52,1.0,0.9739884393063584,152,6
52,53,0.0,0.0,115,10
53,54,0.0,0.0,112,13
54,55,1.0,0.9682080924855492,134,5
55,56,1.0,0.9739884393063584,168,6
56,57,1.0,0.9682080924855492,112,4
57,58,1.0,0.9682080924855492,112,4
58,59,1.0,0.9682080924855492,112,4
59,60,0.0,0.0,170,18
60,61,1.0,0.9595375722543352,67,4
61,62,1.0,0.9624277456647399,63,5
62,63,1.0,0.9450867052023122,47,1
63,64,1.0,0.9653179190751445,145,2
64,65,1.0,0.9739884393063584,113,6
65,66,0.0,0.0,112,7
66,67,1.0,0.9682080924855492,168,4
67,68,0.0,0.0,152,8
68,69,1.0,0.9682080924855492,100,6
69,70,0.0,0.0,168,19
70,71,1.0,0.9682080924855492,146,4
71,72,0.0,0.0,168,8
72,73,1.0,0.9653179190751445,112,5
73,74,1.0,0.9739884393063584,152,6
74,75,1.0,0.9739884393063584,168,6
75,76,1.0,0.9739884393063584,148,6
76,77,1.0,0.9739884393063584,156,6
77,78,1.0,0.9624277456647399,174,2
78,79,1.0,0.976878612716763,117,6
79,80,1.0,0.9595375722543352,40,6
80,81,0.0,0.0,24,10
81,82,0.0,0.0,113,10
82,83,0.0,0.0,113,9
83,84,0.0,0.0,152,8
84,85,1.0,0.9739884393063584,113,6
85,86,1.0,0.9624277456647399,29,6
86,87,1.0,0.976878612716763,114,6
87,88,1.0,0.9739884393063584,108,6
88,89,0.0,0.0,117,15
89,90,1.0,0.976878612716763,117,6
90,91,1.0,0.976878612716763,117,6
91,92,0.9985528219971056,0.9479768786127167,17,6
92,93,1.0,0.976878612716763,114,6
93,94,1.0,0.9595375722543352,41,6
94,95,1.0,0.9682080924855492,99,6
95,96,1.0,0.976878612716763,117,6
96,97,1.0,0.976878612716763,114,6
97,98,1.0,0.9682080924855492,130,2
98,99,1.0,0.9739884393063584,152,6
99,100,0.0,0.0,117,16
100,101,1.0,0.9710982658959537,160,6
101,102,1.0,0.9682080924855492,160,4
102,103,0.0,0.0,106,10
103,104,1.0,0.9653179190751445,117,3
104,105,0.0,0.0,91,15
105,106,1.0,0.9710982658959537,193,6
106,107,0.0,0.0,20,9
107,108,1.0,0.9710982658959537,111,6
108,109,1.0,0.9653179190751445,123,3
109,110,1.0,0.9739884393063584,198,6
110,111,1.0,0.976878612716763,117,6
111,112,0.0,0.0,30,16
112,113,1.0,0.976878612716763,114,6
113,114,1.0,0.9682080924855492,90,5
114,115,1.0,0.976878612716763,117,6
115,116,0.0,0.0,117,15
116,117,1.0,0.976878612716763,114,6
117,118,0.0,0.0,132,14
118,119,0.0,0.0,114,18
119,120,0.0,0.0,151,9
120,121,1.0,0.976878612716763,117,6
121,122,1.0,0.9624277456647399,28,6
122,123,1.0,0.976878612716763,114,6
123,124,1.0,0.976878612716763,117,6
124,125,1.0,0.9624277456647399,28,6
125,126,1.0,0.976878612716763,117,6
126,127,1.0,0.9653179190751445,117,3
127,128,1.0,0.953757225433526,23,6
128,129,1.0,0.9624277456647399,56,6
129,130,0.0,0.0,183,11
130,131,1.0,0.976878612716763,117,6
131,132,1.0,0.9653179190751445,117,3
132,133,1.0,0.9739884393063584,192,6
133,134,1.0,0.976878612716763,117,6
134,135,1.0,0.976878612716763,117,6
