,run,train acc,test acc,n,m
0,1,1.0,0.9649122807017544,31,6
1,2,0.9956043956043956,0.956140350877193,13,9
2,3,1.0,0.9736842105263158,167,18
3,4,1.0,0.956140350877193,145,15
4,5,1.0,0.9649122807017544,54,13
5,6,1.0,0.956140350877193,19,2
6,7,1.0,0.9736842105263158,118,7
7,8,1.0,0.9736842105263158,197,12
8,9,1.0,0.9649122807017544,136,11
9,10,1.0,0.9649122807017544,54,8
10,11,1.0,0.9298245614035088,45,4
11,12,1.0,0.9473684210526315,78,4
12,13,1.0,0.9736842105263158,122,17
13,14,1.0,0.9736842105263158,124,5
14,15,1.0,0.9649122807017544,36,16
15,16,1.0,0.9736842105263158,118,7
16,17,1.0,0.9649122807017544,155,13
17,18,1.0,0.9824561403508771,136,7
18,19,1.0,0.9736842105263158,119,17
19,20,1.0,0.9473684210526315,90,2
20,21,1.0,0.9649122807017544,124,11
21,22,1.0,0.9736842105263158,122,17
22,23,1.0,0.9736842105263158,119,17
23,24,1.0,0.9736842105263158,136,17
24,25,1.0,0.9736842105263158,126,16
25,26,1.0,0.9473684210526315,98,2
26,27,1.0,0.9649122807017544,188,15
27,28,1.0,0.9736842105263158,119,12
28,29,1.0,0.9736842105263158,197,17
29,30,1.0,0.9736842105263158,197,8
30,31,1.0,0.9736842105263158,167,18
31,32,1.0,0.9736842105263158,136,12
32,33,1.0,0.9736842105263158,135,12
33,34,1.0,0.9649122807017544,143,18
34,35,1.0,0.9736842105263158,167,17
35,36,1.0,0.9824561403508771,136,7
36,37,1.0,0.9736842105263158,136,17
37,38,1.0,0.9736842105263158,34,17
38,39,1.0,0.9649122807017544,128,15
39,40,1.0,0.9649122807017544,124,18
40,41,1.0,0.9736842105263158,167,10
41,42,1.0,0.9736842105263158,64,14
42,43,1.0,0.9736842105263158,197,16
43,44,1.0,0.9649122807017544,119,18
44,45,1.0,0.9736842105263158,150,17
45,46,1.0,0.9736842105263158,119,17
46,47,1.0,0.9736842105263158,122,17
47,48,1.0,0.9649122807017544,110,5
48,49,1.0,0.9736842105263158,119,13
49,50,1.0,0.9824561403508771,137,7
50,51,1.0,0.9649122807017544,131,14
51,52,1.0,0.9649122807017544,133,18
52,53,1.0,0.9649122807017544,120,11
53,54,1.0,0.956140350877193,9,7
54,55,1.0,0.9736842105263158,119,10
55,56,0.9978021978021978,0.9649122807017544,14,13
56,57,1.0,0.9736842105263158,125,14
57,58,1.0,0.9736842105263158,185,17
58,59,1.0,0.9736842105263158,83,17
59,60,1.0,0.9736842105263158,168,17
60,61,1.0,0.9649122807017544,136,13
61,62,1.0,0.9736842105263158,136,17
62,63,1.0,0.9736842105263158,128,17
63,64,1.0,0.9649122807017544,37,15
64,65,1.0,0.9736842105263158,167,15
65,66,1.0,0.9736842105263158,167,17
66,67,0.9978021978021978,0.956140350877193,13,12
67,68,1.0,0.9736842105263158,40,18
68,69,1.0,0.9649122807017544,125,18
69,70,1.0,0.9736842105263158,167,17
70,71,1.0,0.9736842105263158,136,17
71,72,1.0,0.9473684210526315,67,2
72,73,1.0,0.9736842105263158,162,6
73,74,1.0,0.9649122807017544,122,19
74,75,1.0,0.9736842105263158,136,17
