,run,train acc,test acc,n,m
0,1,1.0,0.9649122807017544,31,6
1,2,0.9956043956043956,0.956140350877193,13,9
2,3,1.0,0.9736842105263158,167,18
3,4,1.0,0.956140350877193,145,15
4,5,1.0,0.9649122807017544,54,13
5,6,1.0,0.956140350877193,19,2
6,7,1.0,0.9736842105263158,118,7
7,8,1.0,0.9736842105263158,197,12
8,9,1.0,0.9649122807017544,136,11
9,10,1.0,0.9649122807017544,54,8
10,11,1.0,0.9298245614035088,45,4
11,12,1.0,0.9473684210526315,78,4
12,13,1.0,0.9736842105263158,122,17
13,14,1.0,0.9736842105263158,124,5
14,15,1.0,0.9649122807017544,36,16
15,16,1.0,0.9736842105263158,167,6
16,17,1.0,0.9649122807017544,31,18
17,18,1.0,0.9736842105263158,155,8
18,19,1.0,0.9649122807017544,36,13
19,20,1.0,0.9649122807017544,31,13
20,21,1.0,0.9736842105263158,54,18
21,22,1.0,0.9736842105263158,122,17
22,23,1.0,0.9736842105263158,127,6
23,24,1.0,0.9736842105263158,167,8
24,25,1.0,0.9736842105263158,31,12
25,26,1.0,0.9736842105263158,118,7
26,27,1.0,0.9736842105263158,124,6
27,28,1.0,0.9385964912280702,122,1
28,29,1.0,0.9736842105263158,167,17
29,30,1.0,0.9736842105263158,37,18
30,31,1.0,0.9736842105263158,106,12
31,32,1.0,0.9736842105263158,81,8
32,33,1.0,0.9736842105263158,155,12
33,34,1.0,0.9736842105263158,137,12
34,35,1.0,0.9736842105263158,43,16
