,run,train acc,test acc,n,m
0,1,1.0,0.95775,31,6
1,2,0.99975,0.94375,13,9
2,3,0.0,0.0,167,18
3,4,1.0,0.94125,145,15
4,5,1.0,0.946,54,13
5,6,1.0,0.946,19,2
6,7,1.0,0.9595,118,7
7,8,1.0,0.952,197,12
8,9,1.0,0.95425,136,11
9,10,1.0,0.954,54,8
10,11,1.0,0.961,45,4
11,12,1.0,0.9635,78,4
12,13,0.0,0.0,122,17
13,14,1.0,0.96375,124,5
14,15,1.0,0.9355,36,16
15,16,1.0,0.962,59,6
16,17,1.0,0.95825,45,6
17,18,1.0,0.95175,158,13
18,19,1.0,0.9545,82,8
19,20,1.0,0.956,106,9
20,21,1.0,0.9575,39,6
21,22,0.0,0.0,145,17
22,23,1.0,0.962,114,6
23,24,1.0,0.96175,124,6
24,25,1.0,0.95875,45,5
25,26,1.0,0.96175,58,4
26,27,1.0,0.962,115,6
27,28,1.0,0.945,160,14
28,29,1.0,0.962,116,6
29,30,0.0,0.0,124,17
30,31,1.0,0.9595,118,7
31,32,1.0,0.958,59,2
32,33,1.0,0.962,114,6
33,34,1.0,0.96175,124,6
34,35,1.0,0.96175,83,5
35,36,1.0,0.96175,124,6
36,37,1.0,0.96175,124,6
37,38,1.0,0.9405,137,15
38,39,1.0,0.96275,98,5
39,40,0.9990625,0.9395,10,6
40,41,1.0,0.962,104,6
41,42,1.0,0.96275,98,5
42,43,1.0,0.96275,101,5
43,44,1.0,0.956,124,9
44,45,1.0,0.962,114,6
45,46,1.0,0.95925,114,7
46,47,1.0,0.9635,106,5
47,48,1.0,0.95475,132,11
48,49,1.0,0.96275,100,5
49,50,1.0,0.963,161,5
50,51,1.0,0.9635,106,5
51,52,1.0,0.96,192,7
52,53,1.0,0.9635,99,4
53,54,1.0,0.96225,67,5
54,55,1.0,0.96325,122,3
55,56,0.9999375,0.94325,17,3
56,57,1.0,0.964,124,4
57,58,1.0,0.95625,122,8
58,59,1.0,0.964,124,4
59,60,1.0,0.94075,161,15
60,61,1.0,0.9555,98,8
61,62,1.0,0.96375,142,5
62,63,1.0,0.9625,80,5
63,64,1.0,0.9615,101,3
64,65,1.0,0.9635,99,4
65,66,1.0,0.945,165,14
66,67,1.0,0.96375,142,4
67,68,1.0,0.9635,99,4
68,69,1.0,0.94525,99,14
69,70,1.0,0.964,124,4
70,71,1.0,0.9635,99,4
71,72,1.0,0.95425,78,8
72,73,1.0,0.9635,78,4
73,74,1.0,0.95275,106,11
74,75,1.0,0.96375,142,5
75,76,1.0,0.96025,124,7
76,77,1.0,0.9635,137,4
77,78,1.0,0.96375,142,4
78,79,1.0,0.96375,142,5
79,80,1.0,0.941,142,15
80,81,1.0,0.9635,107,5
81,82,1.0,0.96425,140,5
82,83,1.0,0.964,124,4
83,84,0.9999375,0.95,18,4
84,85,1.0,0.96375,142,4
85,86,1.0,0.964,124,4
86,87,1.0,0.963,102,5
87,88,1.0,0.951,146,12
88,89,1.0,0.96375,142,5
89,90,0.99975,0.94325,14,3
90,91,1.0,0.96375,124,5
91,92,1.0,0.96225,140,6
92,93,1.0,0.96425,125,4
93,94,1.0,0.9565,35,4
94,95,1.0,0.96325,140,4
