,run,train acc,test acc,n,m
0,1,0.9989908739908739,0.8520831200737026,31,6
1,2,0.9933309933309933,0.8480908997850343,13,9
2,3,1.0,0.8550516941345071,167,18
3,4,1.0,0.8569966219674481,145,15
4,5,0.9996489996489997,0.8538233186610708,54,13
5,6,0.997060372060372,0.8459412427065206,19,2
6,7,1.0,0.8550516941345071,118,7
7,8,1.0,0.8568942573446617,197,12
8,9,1.0,0.853618589415498,136,11
9,10,0.9997367497367498,0.8510594738458389,54,8
10,11,0.9996051246051246,0.8498310983724024,45,4
11,12,1.0,0.8513665677141979,78,4
12,13,1.0,0.8572013512130208,122,17
13,14,1.0,0.8534138601699253,124,5
14,15,0.9986837486837487,0.8532091309243526,36,16
15,16,1.0,0.8569966219674481,145,15
16,17,1.0,0.8576108097041663,140,16
17,18,1.0,0.8557682464940116,136,7
18,19,1.0,0.8572013512130208,123,17
19,20,1.0,0.8486027228989661,90,2
20,21,1.0,0.8532091309243526,118,5
21,22,1.0,0.8568942573446617,197,12
22,23,1.0,0.8550516941345071,167,18
23,24,1.0,0.8565871634763026,140,12
24,25,1.0,0.8567918927218753,156,16
25,26,1.0,0.8490121813901116,98,2
26,27,1.0,0.8565871634763026,191,14
27,28,1.0,0.8576108097041663,140,15
28,29,1.0,0.8565871634763026,145,12
29,30,1.0,0.853618589415498,145,8
30,31,1.0,0.8572013512130208,122,17
31,32,1.0,0.8565871634763026,140,12
32,33,1.0,0.8565871634763026,191,14
33,34,1.0,0.8574060804585935,143,15
34,35,1.0,0.8565871634763026,140,12
35,36,1.0,0.8576108097041663,140,16
36,37,1.0,0.8576108097041663,140,16
37,38,0.9986398736398736,0.8506500153546934,34,15
38,39,1.0,0.8577131743269526,142,16
39,40,1.0,0.8567918927218753,122,16
40,41,1.0,0.8559729757395844,140,17
41,42,0.9999122499122499,0.8566895280990889,64,14
42,43,1.0,0.8565871634763026,140,12
43,44,1.0,0.8572013512130208,123,16
44,45,1.0,0.8570989865902344,134,17
45,46,1.0,0.8572013512130208,123,17
46,47,1.0,0.8574060804585935,143,15
47,48,1.0,0.8549493295117208,110,5
48,49,1.0,0.8572013512130208,123,16
49,50,1.0,0.8573037158358071,137,16
50,51,1.0,0.8564847988535162,138,17
51,52,1.0,0.853618589415498,133,18
52,53,1.0,0.8572013512130208,122,17
53,54,0.9889434889434889,0.8452246903470161,9,16
54,55,1.0,0.8572013512130208,123,16
55,56,0.9926728676728677,0.8480908997850343,14,13
56,57,1.0,0.8568942573446617,130,17
57,58,1.0,0.8566895280990889,185,17
58,59,0.999956124956125,0.8561777049851571,83,17
59,60,1.0,0.8569966219674481,168,16
60,61,1.0,0.8572013512130208,123,16
61,62,1.0,0.8572013512130208,123,17
62,63,1.0,0.8563824342307299,101,16
63,64,0.9990786240786241,0.8537209540382844,37,15
64,65,1.0,0.8576108097041663,140,15
65,66,1.0,0.8559729757395844,140,17
66,67,0.9938574938574939,0.846043607329307,13,12
67,68,0.9990786240786241,0.8519807554509161,40,15
68,69,1.0,0.8567918927218753,125,16
69,70,1.0,0.8559729757395844,140,17
70,71,1.0,0.8570989865902344,123,15
71,72,0.9999122499122499,0.847169618179957,67,2
72,73,1.0,0.8576108097041663,140,15
73,74,1.0,0.8551540587572934,143,19
74,75,1.0,0.8572013512130208,123,17
