,run,train acc,test acc,n,m
0,1,1.0,0.9649122807017544,31,6
1,2,0.9956043956043956,0.956140350877193,13,9
2,3,1.0,0.9736842105263158,167,18
3,4,1.0,0.956140350877193,145,15
4,5,1.0,0.9649122807017544,54,13
5,6,1.0,0.956140350877193,19,2
6,7,1.0,0.9736842105263158,118,7
7,8,1.0,0.9736842105263158,197,12
8,9,1.0,0.9649122807017544,136,11
9,10,1.0,0.9649122807017544,54,8
10,11,1.0,0.9298245614035088,45,4
11,12,1.0,0.9473684210526315,78,4
12,13,1.0,0.9736842105263158,122,17
13,14,1.0,0.9736842105263158,124,5
14,15,1.0,0.9649122807017544,36,16
15,16,1.0,0.9736842105263158,167,18
16,17,1.0,0.9736842105263158,167,10
17,18,1.0,0.9649122807017544,59,18
18,19,1.0,0.9736842105263158,167,15
19,20,1.0,0.9649122807017544,167,16
20,21,1.0,0.9824561403508771,136,7
21,22,1.0,0.9736842105263158,184,6
22,23,1.0,0.9649122807017544,167,9
23,24,1.0,0.9736842105263158,167,18
24,25,1.0,0.9736842105263158,169,18
25,26,1.0,0.9736842105263158,178,17
26,27,1.0,0.9649122807017544,61,18
27,28,0.9978021978021978,0.9736842105263158,6,10
28,29,1.0,0.9649122807017544,155,18
29,30,1.0,0.9736842105263158,181,7
30,31,1.0,0.9649122807017544,136,19
31,32,1.0,0.9649122807017544,136,18
32,33,1.0,0.9473684210526315,136,1
33,34,1.0,0.9736842105263158,160,14
34,35,1.0,0.9736842105263158,106,8
35,36,1.0,0.9736842105263158,80,7
36,37,1.0,0.9736842105263158,170,7
37,38,1.0,0.9824561403508771,154,7
38,39,1.0,0.9736842105263158,136,17
39,40,1.0,0.9473684210526315,136,2
40,41,1.0,0.9649122807017544,167,13
41,42,1.0,0.9824561403508771,151,7
42,43,1.0,0.9736842105263158,83,7
43,44,1.0,0.9824561403508771,136,7
44,45,1.0,0.9824561403508771,130,7
45,46,1.0,0.956140350877193,32,10
46,47,1.0,0.9649122807017544,136,15
47,48,1.0,0.9473684210526315,136,2
48,49,1.0,0.9473684210526315,136,1
49,50,1.0,0.9473684210526315,165,1
50,51,1.0,0.9649122807017544,136,14
51,52,1.0,0.9824561403508771,136,7
52,53,1.0,0.9824561403508771,136,7
53,54,1.0,0.9298245614035088,44,4
54,55,1.0,0.9736842105263158,136,16
55,56,1.0,0.9649122807017544,153,15
56,57,1.0,0.9736842105263158,136,9
57,58,1.0,0.9649122807017544,98,15
58,59,1.0,0.9473684210526315,59,2
59,60,1.0,0.9824561403508771,136,7
60,61,1.0,0.9824561403508771,136,7
61,62,1.0,0.9649122807017544,110,5
62,63,1.0,0.9649122807017544,136,4
63,64,1.0,0.9736842105263158,63,7
64,65,1.0,0.9736842105263158,136,10
65,66,1.0,0.9824561403508771,136,7
66,67,1.0,0.9736842105263158,136,10
67,68,1.0,0.9649122807017544,136,18
68,69,1.0,0.9736842105263158,67,7
69,70,0.9978021978021978,0.9736842105263158,22,9
70,71,0.9978021978021978,0.956140350877193,14,2
71,72,0.9912087912087912,0.9473684210526315,4,5
72,73,1.0,0.9473684210526315,145,2
73,74,1.0,0.9736842105263158,186,8
74,75,1.0,0.9824561403508771,196,7
75,76,1.0,0.956140350877193,151,15
76,77,1.0,0.9736842105263158,136,8
77,78,1.0,0.9824561403508771,136,7
78,79,1.0,0.9824561403508771,136,7
79,80,1.0,0.9649122807017544,191,12
80,81,0.9978021978021978,0.9649122807017544,14,7
81,82,1.0,0.9736842105263158,136,8
82,83,1.0,0.9736842105263158,136,8
83,84,1.0,0.9824561403508771,136,7
84,85,1.0,0.9824561403508771,136,7
85,86,1.0,0.9736842105263158,33,7
86,87,1.0,0.9824561403508771,136,7
87,88,1.0,0.9824561403508771,136,7
88,89,1.0,0.9736842105263158,35,7
89,90,1.0,0.9824561403508771,155,7
90,91,1.0,0.9824561403508771,136,7
91,92,1.0,0.9649122807017544,136,11
92,93,1.0,0.9736842105263158,55,7
93,94,1.0,0.9736842105263158,121,8
94,95,1.0,0.9824561403508771,136,7
95,96,1.0,0.9824561403508771,136,7
96,97,1.0,0.9736842105263158,114,7
97,98,1.0,0.9736842105263158,81,7
98,99,1.0,0.9736842105263158,68,14
99,100,1.0,0.9736842105263158,106,7
100,101,1.0,0.9824561403508771,136,7
101,102,0.9956043956043956,0.9122807017543859,6,1
102,103,1.0,0.9649122807017544,186,11
103,104,1.0,0.9649122807017544,151,11
104,105,1.0,0.9824561403508771,137,7
105,106,0.9956043956043956,0.9473684210526315,3,7
106,107,1.0,0.9824561403508771,136,7
107,108,1.0,0.9473684210526315,136,2
108,109,1.0,0.9473684210526315,172,2
109,110,1.0,0.9736842105263158,136,10
110,111,1.0,0.9824561403508771,136,7
111,112,1.0,0.9824561403508771,136,7
112,113,1.0,0.9649122807017544,136,14
113,114,1.0,0.9649122807017544,136,13
114,115,0.9978021978021978,0.9736842105263158,17,7
115,116,1.0,0.9824561403508771,136,7
116,117,1.0,0.9473684210526315,136,1
117,118,1.0,0.9736842105263158,136,16
118,119,1.0,0.9824561403508771,136,7
119,120,1.0,0.956140350877193,160,4
120,121,1.0,0.9736842105263158,106,10
121,122,1.0,0.9649122807017544,144,3
122,123,1.0,0.9649122807017544,91,15
123,124,1.0,0.9649122807017544,136,19
124,125,1.0,0.9473684210526315,136,2
125,126,1.0,0.9736842105263158,168,7
126,127,1.0,0.9736842105263158,111,7
127,128,1.0,0.9736842105263158,25,7
128,129,1.0,0.9736842105263158,136,6
129,130,1.0,0.9824561403508771,136,7
130,131,1.0,0.9824561403508771,149,7
131,132,1.0,0.9736842105263158,30,16
132,133,1.0,0.9649122807017544,136,14
133,134,1.0,0.9736842105263158,86,8
134,135,0.9758241758241758,0.9210526315789473,2,7
135,136,1.0,0.9649122807017544,136,13
136,137,1.0,0.9824561403508771,156,7
137,138,1.0,0.9736842105263158,181,7
138,139,1.0,0.9649122807017544,136,14
139,140,1.0,0.9824561403508771,136,7
140,141,1.0,0.9649122807017544,113,15
141,142,1.0,0.9824561403508771,136,7
142,143,1.0,0.9649122807017544,136,14
143,144,1.0,0.9824561403508771,136,7
144,145,1.0,0.9824561403508771,136,7
145,146,1.0,0.9824561403508771,136,7
146,147,1.0,0.9824561403508771,136,7
147,148,1.0,0.9649122807017544,118,3
148,149,1.0,0.9824561403508771,153,7
149,150,1.0,0.9824561403508771,121,7
150,151,1.0,0.9736842105263158,136,3
151,152,1.0,0.9649122807017544,139,18
152,153,1.0,0.9649122807017544,136,18
153,154,1.0,0.9649122807017544,136,18
154,155,1.0,0.9736842105263158,57,17
