,run,train acc,test acc,n,m
0,1,1.0,0.9624277456647399,31,6
1,2,0.0,0.0,13,9
2,3,0.0,0.0,167,18
3,4,0.0,0.0,145,15
4,5,0.0,0.0,54,13
5,6,1.0,0.9566473988439307,19,2
6,7,0.0,0.0,118,7
7,8,0.0,0.0,197,12
8,9,0.0,0.0,136,11
9,10,0.0,0.0,54,8
10,11,1.0,0.9624277456647399,45,4
11,12,1.0,0.9624277456647399,78,4
12,13,0.0,0.0,122,17
13,14,1.0,0.9653179190751445,124,5
14,15,0.0,0.0,36,16
15,16,1.0,0.9566473988439307,59,2
16,17,1.0,0.9624277456647399,45,4
17,18,0.0,0.0,158,13
18,19,0.0,0.0,66,9
19,20,0.0,0.0,106,9
20,21,1.0,0.9566473988439307,25,2
21,22,0.0,0.0,145,17
22,23,1.0,0.9653179190751445,113,3
23,24,1.0,0.9682080924855492,124,2
24,25,0.9992764109985528,0.9566473988439307,19,5
25,26,1.0,0.9624277456647399,58,4
26,27,1.0,0.9624277456647399,36,4
27,28,0.0,0.0,160,14
28,29,1.0,0.9682080924855492,106,4
29,30,0.0,0.0,124,17
30,31,1.0,0.9624277456647399,45,4
31,32,1.0,0.9682080924855492,124,2
32,33,1.0,0.9682080924855492,167,4
33,34,1.0,0.9682080924855492,124,4
34,35,1.0,0.9624277456647399,97,2
35,36,1.0,0.9624277456647399,78,4
36,37,1.0,0.9682080924855492,124,4
37,38,0.0,0.0,137,15
38,39,1.0,0.9653179190751445,120,2
39,40,0.9978292329956585,0.9595375722543352,10,4
40,41,1.0,0.9624277456647399,154,3
41,42,1.0,0.9682080924855492,124,2
42,43,1.0,0.9624277456647399,30,2
43,44,0.0,0.0,124,9
44,45,1.0,0.9682080924855492,124,4
45,46,0.0,0.0,124,7
46,47,1.0,0.9624277456647399,99,2
47,48,0.0,0.0,132,11
48,49,1.0,0.9710982658959537,133,4
49,50,1.0,0.9624277456647399,161,2
50,51,1.0,0.9682080924855492,124,2
51,52,0.0,0.0,192,7
52,53,1.0,0.9682080924855492,123,4
53,54,1.0,0.9595375722543352,67,2
54,55,1.0,0.9624277456647399,163,2
55,56,1.0,0.9653179190751445,17,3
56,57,1.0,0.9710982658959537,133,2
57,58,0.0,0.0,167,8
58,59,0.0,0.0,166,7
59,60,0.0,0.0,124,15
60,61,1.0,0.9682080924855492,124,4
61,62,1.0,0.9682080924855492,142,4
62,63,1.0,0.9624277456647399,108,3
63,64,1.0,0.9624277456647399,101,3
64,65,1.0,0.9682080924855492,124,4
65,66,0.0,0.0,165,14
66,67,1.0,0.9682080924855492,106,4
67,68,1.0,0.9682080924855492,124,4
68,69,0.0,0.0,124,14
69,70,1.0,0.9710982658959537,133,2
70,71,1.0,0.9682080924855492,124,4
71,72,0.0,0.0,167,8
72,73,1.0,0.9682080924855492,167,4
73,74,0.0,0.0,124,11
74,75,1.0,0.9682080924855492,106,4
75,76,0.0,0.0,124,7
76,77,1.0,0.9682080924855492,139,2
77,78,1.0,0.9653179190751445,106,2
78,79,1.0,0.9682080924855492,124,4
79,80,0.0,0.0,106,15
80,81,1.0,0.9653179190751445,116,3
81,82,1.0,0.9682080924855492,140,5
82,83,1.0,0.9710982658959537,133,4
83,84,1.0,0.9566473988439307,18,4
84,85,1.0,0.9653179190751445,124,3
85,86,1.0,0.9682080924855492,124,4
86,87,1.0,0.9653179190751445,147,2
87,88,0.0,0.0,146,12
88,89,1.0,0.9624277456647399,167,2
89,90,0.9992764109985528,0.9566473988439307,14,3
90,91,1.0,0.9682080924855492,124,2
91,92,1.0,0.9739884393063584,133,6
92,93,0.9949348769898697,0.9595375722543352,6,4
93,94,1.0,0.9653179190751445,35,4
94,95,1.0,0.9710982658959537,133,4
