,run,train acc,test acc,n,m
0,1,1.0,0.95775,31,6
1,2,0.99975,0.94375,13,9
2,3,0.0,0.0,167,18
3,4,1.0,0.94125,145,15
4,5,1.0,0.946,54,13
5,6,1.0,0.946,19,2
6,7,1.0,0.9595,118,7
7,8,1.0,0.952,197,12
8,9,1.0,0.95425,136,11
9,10,1.0,0.954,54,8
10,11,1.0,0.961,45,4
11,12,1.0,0.9635,78,4
12,13,0.0,0.0,122,17
13,14,1.0,0.96375,124,5
14,15,1.0,0.9355,36,16
15,16,1.0,0.96375,105,5
16,17,1.0,0.96225,78,5
17,18,1.0,0.96375,120,5
18,19,1.0,0.96375,124,5
19,20,0.0,0.0,135,19
20,21,1.0,0.963,76,4
21,22,1.0,0.96375,124,5
22,23,1.0,0.9635,112,4
23,24,1.0,0.964,152,5
24,25,1.0,0.965,85,4
25,26,1.0,0.94275,104,15
26,27,1.0,0.95825,45,6
27,28,1.0,0.963,152,4
28,29,1.0,0.96425,131,5
29,30,1.0,0.965,85,4
30,31,1.0,0.945,160,14
31,32,1.0,0.9635,145,3
32,33,1.0,0.96375,120,5
33,34,1.0,0.96425,154,5
34,35,0.0,0.0,152,17
35,36,0.9995,0.929,16,16
36,37,1.0,0.96375,128,5
37,38,1.0,0.954,85,8
38,39,1.0,0.965,85,4
39,40,1.0,0.95525,85,10
40,41,0.9999375,0.95075,32,10
41,42,1.0,0.96375,120,5
42,43,1.0,0.96525,91,4
43,44,1.0,0.953,25,4
44,45,0.999125,0.93625,10,4
45,46,1.0,0.9635,154,4
46,47,1.0,0.96275,85,5
47,48,1.0,0.96025,44,4
48,49,1.0,0.96275,85,5
49,50,1.0,0.94125,154,15
50,51,1.0,0.95625,154,9
51,52,1.0,0.962,131,6
52,53,1.0,0.96225,94,5
53,54,1.0,0.9495,91,13
54,55,1.0,0.964,113,4
55,56,1.0,0.96275,168,6
56,57,1.0,0.96525,91,4
57,58,1.0,0.96525,91,4
58,59,1.0,0.96525,91,4
59,60,0.0,0.0,170,18
60,61,1.0,0.96225,67,5
61,62,1.0,0.96225,63,5
62,63,1.0,0.94975,47,1
63,64,1.0,0.962,145,2
64,65,1.0,0.961,92,5
65,66,1.0,0.96025,131,7
66,67,1.0,0.965,85,4
67,68,1.0,0.95375,91,8
68,69,1.0,0.9635,100,4
69,70,0.0,0.0,85,19
70,71,1.0,0.964,113,4
71,72,1.0,0.954,85,8
72,73,1.0,0.96425,131,5
73,74,1.0,0.96525,91,4
74,75,1.0,0.93825,85,16
75,76,1.0,0.963,148,4
76,77,1.0,0.9635,156,4
77,78,1.0,0.96175,174,2
78,79,1.0,0.963,117,4
79,80,1.0,0.95975,40,4
80,81,0.9999375,0.94825,24,10
81,82,1.0,0.95525,85,10
82,83,1.0,0.95525,85,9
83,84,1.0,0.95375,91,8
84,85,1.0,0.965,85,4
85,86,1.0,0.95725,29,4
86,87,1.0,0.965,85,4
87,88,1.0,0.96375,108,4
88,89,1.0,0.94175,91,15
89,90,1.0,0.96525,91,4
90,91,1.0,0.9525,89,1
91,92,0.9999375,0.95025,17,4
92,93,1.0,0.965,85,4
93,94,1.0,0.9585,41,4
94,95,1.0,0.9635,99,4
95,96,1.0,0.96525,91,4
96,97,1.0,0.94725,85,14
97,98,1.0,0.96225,130,2
98,99,1.0,0.965,85,4
99,100,1.0,0.93825,85,16
100,101,1.0,0.9645,90,4
101,102,1.0,0.9635,160,4
102,103,1.0,0.9565,106,10
103,104,1.0,0.95975,91,3
104,105,1.0,0.94175,91,15
105,106,1.0,0.963,193,4
106,107,1.0,0.94825,20,9
107,108,1.0,0.96425,111,4
108,109,1.0,0.963,123,3
109,110,1.0,0.963,198,4
110,111,1.0,0.96525,91,4
111,112,0.999875,0.9335,30,16
112,113,1.0,0.96525,91,4
113,114,1.0,0.96075,90,5
114,115,1.0,0.963,193,4
115,116,1.0,0.94175,91,15
116,117,1.0,0.96525,91,4
117,118,1.0,0.9455,132,14
118,119,0.0,0.0,91,18
119,120,1.0,0.95625,151,9
120,121,1.0,0.96525,91,4
121,122,1.0,0.9545,28,4
122,123,1.0,0.96525,91,4
123,124,1.0,0.96525,91,4
124,125,1.0,0.9545,28,4
125,126,1.0,0.96525,91,4
126,127,1.0,0.95975,91,3
127,128,1.0,0.95275,23,4
128,129,1.0,0.9615,56,4
129,130,1.0,0.9555,183,11
130,131,1.0,0.96525,91,4
131,132,1.0,0.95975,91,3
132,133,1.0,0.963,192,4
133,134,1.0,0.96525,91,4
134,135,1.0,0.96525,91,4
