,run,train acc,test acc,n,m
0,1,1.0,0.9624277456647399,31,6
1,2,0.0,0.0,13,9
2,3,0.0,0.0,167,18
3,4,0.0,0.0,145,15
4,5,0.0,0.0,54,13
5,6,1.0,0.9566473988439307,19,2
6,7,0.0,0.0,118,7
7,8,0.0,0.0,197,12
8,9,0.0,0.0,136,11
9,10,0.0,0.0,54,8
10,11,1.0,0.9624277456647399,45,4
11,12,1.0,0.9624277456647399,78,4
12,13,0.0,0.0,122,17
13,14,1.0,0.9653179190751445,124,5
14,15,0.0,0.0,36,16
15,16,0.0,0.0,124,9
16,17,0.9985528219971056,0.953757225433526,13,5
17,18,0.0,0.0,155,8
18,19,0.0,0.0,118,13
19,20,0.0,0.0,136,15
20,21,0.0,0.0,145,11
21,22,1.0,0.9624277456647399,78,4
22,23,1.0,0.9508670520231214,20,5
23,24,0.0,0.0,13,8
24,25,0.0,0.0,145,11
25,26,1.0,0.9624277456647399,31,6
26,27,0.9992764109985528,0.9566473988439307,19,5
27,28,1.0,0.9479768786127167,78,1
28,29,1.0,0.9682080924855492,124,4
29,30,0.0,0.0,37,18
30,31,0.0,0.0,136,9
31,32,0.0,0.0,81,8
32,33,0.9992764109985528,0.9566473988439307,19,6
33,34,1.0,0.9624277456647399,137,1
34,35,1.0,0.9595375722543352,49,5
