,run,train acc,test acc,n,m
0,1,0.9989908739908739,0.8520831200737026,31,6
1,2,0.9933309933309933,0.8480908997850343,13,9
2,3,1.0,0.8550516941345071,167,18
3,4,1.0,0.8569966219674481,145,15
4,5,0.9996489996489997,0.8538233186610708,54,13
5,6,0.997060372060372,0.8459412427065206,19,2
6,7,1.0,0.8550516941345071,118,7
7,8,1.0,0.8568942573446617,197,12
8,9,1.0,0.853618589415498,136,11
9,10,0.9997367497367498,0.8510594738458389,54,8
10,11,0.9996051246051246,0.8498310983724024,45,4
11,12,1.0,0.8513665677141979,78,4
12,13,1.0,0.8572013512130208,122,17
13,14,1.0,0.8534138601699253,124,5
14,15,0.9986837486837487,0.8532091309243526,36,16
15,16,1.0,0.8572013512130208,122,17
16,17,1.0,0.8538233186610708,122,10
17,18,0.9998244998244998,0.8547446002661481,59,17
18,19,1.0,0.8568942573446617,122,15
19,20,1.0,0.8567918927218753,122,16
20,21,1.0,0.8557682464940116,136,7
21,22,1.0,0.8537209540382844,184,6
22,23,1.0,0.8531067663015662,122,9
23,24,1.0,0.8572013512130208,122,17
24,25,1.0,0.8573037158358071,169,17
25,26,1.0,0.8565871634763026,178,17
26,27,0.9998244998244998,0.8544375063977889,61,17
27,28,0.9765707265707265,0.839594636093766,6,10
28,29,1.0,0.8570989865902344,155,17
29,30,1.0,0.8568942573446617,181,17
30,31,1.0,0.8556658818712253,169,19
31,32,1.0,0.8547446002661481,169,18
32,33,1.0,0.8475790766711024,169,1
33,34,1.0,0.8582249974408844,160,14
34,35,1.0,0.8542327771522162,106,8
35,36,0.9999122499122499,0.8556658818712253,80,17
36,37,1.0,0.8566895280990889,170,17
37,38,1.0,0.8564847988535162,154,17
38,39,1.0,0.8573037158358071,169,17
39,40,1.0,0.8498310983724024,169,2
40,41,1.0,0.8551540587572934,167,13
41,42,1.0,0.8559729757395844,151,17
42,43,0.999956124956125,0.8561777049851571,83,17
43,44,1.0,0.8582249974408844,160,14
44,45,1.0,0.8560753403623708,130,14
45,46,0.9986398736398736,0.8530044016787798,32,10
46,47,1.0,0.8582249974408844,160,15
47,48,1.0,0.8502405568635479,160,2
48,49,1.0,0.8470672535571706,160,1
49,50,1.0,0.8468625243115979,165,1
50,51,1.0,0.8582249974408844,160,14
51,52,1.0,0.8582249974408844,160,14
52,53,1.0,0.8582249974408844,160,14
53,54,0.9994734994734995,0.8497287337496161,44,4
54,55,1.0,0.8573037158358071,160,16
55,56,1.0,0.8568942573446617,153,15
56,57,1.0,0.8544375063977889,160,9
57,58,1.0,0.8570989865902344,98,15
58,59,0.9998683748683749,0.8464530658204524,59,2
59,60,1.0,0.8582249974408844,160,14
60,61,1.0,0.8582249974408844,160,14
61,62,1.0,0.8549493295117208,110,5
62,63,1.0,0.8527996724332071,160,4
63,64,0.9999122499122499,0.8562800696079435,63,14
64,65,1.0,0.8545398710205753,160,10
65,66,1.0,0.8582249974408844,160,14
66,67,1.0,0.8545398710205753,160,10
67,68,1.0,0.8549493295117208,160,18
68,69,0.999956124956125,0.8566895280990889,67,14
69,70,0.9964899964899965,0.8489098167673252,22,9
70,71,0.991970866970867,0.8422561162862114,14,2
71,72,0.9611705861705861,0.8351929573139523,4,5
72,73,1.0,0.8497287337496161,145,2
73,74,1.0,0.8538233186610708,186,8
74,75,1.0,0.8553587880028662,196,7
75,76,1.0,0.8573037158358071,151,15
76,77,1.0,0.8539256832838571,160,8
77,78,1.0,0.8582249974408844,160,14
78,79,1.0,0.8582249974408844,160,14
79,80,1.0,0.8567918927218753,191,12
80,81,0.9927167427167427,0.8504452861091207,14,14
81,82,1.0,0.8539256832838571,160,8
82,83,1.0,0.8539256832838571,160,8
83,84,1.0,0.8582249974408844,160,14
84,85,1.0,0.8582249974408844,160,14
85,86,0.9985959985959986,0.853618589415498,33,14
86,87,1.0,0.8551540587572934,160,7
87,88,1.0,0.8582249974408844,160,14
88,89,0.9989031239031239,0.8533114955471389,35,14
89,90,1.0,0.8575084450813799,155,14
90,91,1.0,0.8582249974408844,160,14
91,92,1.0,0.8545398710205753,160,11
92,93,0.9998244998244998,0.8560753403623708,55,14
93,94,1.0,0.853618589415498,121,8
94,95,1.0,0.8582249974408844,160,14
95,96,1.0,0.8582249974408844,160,14
96,97,1.0,0.8554611526256526,114,14
97,98,1.0,0.8569966219674481,81,14
98,99,0.999956124956125,0.8563824342307299,68,14
99,100,1.0,0.8561777049851571,106,14
100,101,1.0,0.8582249974408844,160,14
101,102,0.9747279747279747,0.8340669464633023,6,1
102,103,1.0,0.8543351417750026,186,11
103,104,1.0,0.8547446002661481,151,11
104,105,1.0,0.8563824342307299,137,14
105,106,0.9648999648999649,0.8313031016480704,3,14
106,107,1.0,0.8582249974408844,160,14
107,108,1.0,0.8502405568635479,160,2
108,109,1.0,0.8503429214863343,172,2
109,110,1.0,0.8545398710205753,160,10
110,111,1.0,0.8582249974408844,160,14
111,112,1.0,0.8582249974408844,160,14
112,113,1.0,0.8582249974408844,160,14
113,114,1.0,0.8544375063977889,160,13
114,115,0.9965338715338715,0.8507523799774798,17,14
115,116,1.0,0.8582249974408844,160,14
116,117,1.0,0.8470672535571706,160,1
117,118,1.0,0.8573037158358071,160,16
118,119,1.0,0.8582249974408844,160,14
119,120,1.0,0.8527996724332071,160,4
120,121,1.0,0.8551540587572934,106,10
121,122,1.0,0.8503429214863343,144,3
122,123,1.0,0.8567918927218753,91,15
123,124,1.0,0.8548469648889344,160,19
124,125,1.0,0.8502405568635479,160,2
125,126,1.0,0.8575084450813799,168,14
126,127,1.0,0.8561777049851571,111,14
127,128,0.9982011232011232,0.8535162247927116,25,14
