,run,train acc,test acc,n,m
0,1,1.0,0.95775,31,6
1,2,0.99975,0.94375,13,9
2,3,0.0,0.0,167,18
3,4,1.0,0.94125,145,15
4,5,1.0,0.946,54,13
5,6,1.0,0.946,19,2
6,7,1.0,0.9595,118,7
7,8,1.0,0.952,197,12
8,9,1.0,0.95425,136,11
9,10,1.0,0.954,54,8
10,11,1.0,0.961,45,4
11,12,1.0,0.9635,78,4
12,13,0.0,0.0,122,17
13,14,1.0,0.96375,124,5
14,15,1.0,0.9355,36,16
15,16,1.0,0.956,31,4
16,17,1.0,0.95825,45,6
17,18,1.0,0.96225,78,5
18,19,1.0,0.96375,124,5
19,20,1.0,0.95825,83,7
20,21,1.0,0.96125,68,4
21,22,1.0,0.96375,124,5
22,23,1.0,0.95975,123,7
23,24,1.0,0.964,152,5
24,25,1.0,0.965,85,4
25,26,1.0,0.962,85,6
26,27,1.0,0.965,84,4
27,28,1.0,0.94875,78,13
28,29,1.0,0.9625,184,4
29,30,1.0,0.945,160,14
30,31,1.0,0.96325,103,5
31,32,0.0,0.0,85,17
32,33,1.0,0.96375,124,5
33,34,1.0,0.9625,80,5
34,35,1.0,0.96425,108,5
35,36,1.0,0.965,85,4
36,37,1.0,0.965,84,4
37,38,1.0,0.963,152,4
38,39,1.0,0.96275,85,5
39,40,1.0,0.963,152,4
40,41,1.0,0.96275,85,5
41,42,1.0,0.958,34,5
42,43,1.0,0.9625,95,5
43,44,1.0,0.95325,85,11
44,45,1.0,0.963,152,4
45,46,1.0,0.95075,89,12
46,47,1.0,0.947,84,14
47,48,1.0,0.95325,85,11
48,49,1.0,0.9495,85,13
49,50,1.0,0.954,70,10
50,51,1.0,0.958,84,7
51,52,0.0,0.0,54,19
52,53,1.0,0.96275,85,5
53,54,1.0,0.963,152,4
54,55,1.0,0.96375,142,5
55,56,1.0,0.96375,124,5
56,57,1.0,0.96375,105,5
57,58,1.0,0.96075,67,4
58,59,1.0,0.9635,120,4
59,60,1.0,0.94975,47,1
60,61,1.0,0.964,124,4
61,62,1.0,0.96175,152,2
62,63,1.0,0.963,86,5
63,64,1.0,0.96025,152,7
64,65,1.0,0.965,84,4
65,66,1.0,0.964,152,5
66,67,1.0,0.965,85,4
67,68,1.0,0.96325,168,4
68,69,1.0,0.94825,84,13
69,70,1.0,0.96225,78,5
70,71,1.0,0.95425,83,10
71,72,1.0,0.93825,85,16
72,73,1.0,0.965,84,4
73,74,1.0,0.965,85,4
74,75,1.0,0.9645,138,5
75,76,1.0,0.963,117,4
76,77,1.0,0.965,84,4
77,78,0.9999375,0.94825,24,10
78,79,1.0,0.965,85,4
79,80,1.0,0.95525,84,9
80,81,1.0,0.965,85,4
81,82,1.0,0.965,85,4
82,83,1.0,0.965,84,4
83,84,1.0,0.9645,138,5
84,85,1.0,0.9645,138,5
85,86,1.0,0.96375,108,4
86,87,1.0,0.965,85,4
87,88,1.0,0.965,85,4
88,89,1.0,0.965,85,4
89,90,1.0,0.9545,84,10
90,91,1.0,0.965,84,4
91,92,1.0,0.9565,107,10
92,93,1.0,0.965,84,4
93,94,1.0,0.965,84,4
94,95,1.0,0.965,84,4
95,96,1.0,0.965,84,4
96,97,1.0,0.965,85,4
97,98,1.0,0.939,84,16
98,99,1.0,0.965,84,4
99,100,1.0,0.962,85,6
100,101,1.0,0.965,84,4
101,102,1.0,0.9565,35,4
102,103,1.0,0.95525,85,10
103,104,1.0,0.954,85,8
104,105,1.0,0.965,84,4
105,106,1.0,0.96325,106,4
106,107,1.0,0.9605,54,4
107,108,1.0,0.965,84,4
108,109,1.0,0.965,85,4
109,110,1.0,0.96125,85,3
110,111,1.0,0.965,84,4
111,112,1.0,0.965,84,4
112,113,1.0,0.965,84,4
113,114,1.0,0.93825,85,16
114,115,1.0,0.965,84,4
